id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
14954158,Aprila,10,2352,53,102,0,11,44.4364416407,40-49,664,5,0,2,2,2,0,2,7,3.1726907631,0,0,0.5,1,0,401,4.4780486537007367E-5,0,6.0693606E-6,55,1,0,200,0,0
15285969,JCookie6201,10,1679,61,118,0,121,20.8876007147,20-29,543,3,2,2,4,4,2,2,1,1,0,1.529712617250445E-4,0.0833333333,1,218,414,2.985240256774393E-4,1.797462E-5,1.8208082E-5,213,1,0,200,0,0
16391511,garifuna,10,2909,417,299,37,1,43.7301405547,40-49,654,5,1,2,3,3,1,2,3,1.875,0,8.741684755576348E-5,0.1666666667,1,0,56,1.5206314911483688E-4,1.198308E-5,1.2138721E-5,320,0,0,200,0,0
17411801,niclariviere,10,720,143,225,2,14,48.6236758848,40-49,557,5,1,2,3,3,1,2,7,3.6682289923,0,2.5921031551874335E-4,0.1666666667,1,0,66,5.69906247607208E-5,1.198308E-5,1.2138721E-5,55,0,0,201,0,0
17482189,ejvanvuuren,10,388,102,102,4,5,43.0790964135,40-49,479,3,1,1,2,2,1,1,2,1.6666666667,0,7.497734636589823E-5,0.5,1,22,95,1.1704024304684287E-4,1.198308E-5,1.2138721E-5,182,1,0,200,0,0
17881636,chriskissoff,10,246,67,83,2,11,24.3682432204,20-29,417,3,0,2,2,2,0,2,7,3.1974564926,0,0,0.5,1,0,385,4.4780486537007367E-5,0,6.0693606E-6,390,1,0,200,0,0
20722511,EmmaJean_,10,12536,236,139,4,1944,43.0323920315,40-49,722,7,5,5,10,10,5,5,2,1.375,0,4.225773238620951E-4,0.1111111111,1,214,407,2.680031814096455E-4,3.594924E-5,3.6416164E-5,266,1,0,200,0,0
23121610,Starfishlb,10,2054,30,157,0,12,29.3479812939,20-29,610,6,2,1,3,3,2,1,7,3.1017743555,0,0.0024669063,0.1666666667,1,0,66,4.717867437035941E-5,1.797462E-5,1.8208082E-5,47,0,0,200,0,0
23533926,AminahMS,10,8157,339,216,0,3077,42.2794639561,40-49,717,7,2,1,3,3,2,1,2,1.5,0,1.514327029770266E-4,0.1666666667,1,275,520,2.9852402567743933E-4,1.797462E-5,1.8208082E-5,297,34,0,197,0,0
24978284,mikofox,10,1818,27,125,0,0,22.4622286522,20-29,358,4,1,3,4,4,1,3,7,2.9082691664,0,0.0039162934,0.25,1,0,66,5.034065667458013E-5,1.198308E-5,1.2138721E-5,372,0,0,198,0,0
25619895,JAYRON_SSE,10,1885,210,363,2,29,43.0681372887,40-49,630,6,4,4,8,8,4,4,2,1.5,0,3.395898455675363E-4,0.1071428571,1,214,407,2.2320849686773938E-4,2.99577E-5,3.0346804E-5,266,8,0,200,0,0
29458252,miss_nik,10,1970,130,486,2,11,27.1872857688,20-29,560,6,2,2,4,4,2,2,7,3.0388349515,0,0.008039095,0.0833333333,1,0,66,6.541145475649478E-5,1.797462E-5,1.8208082E-5,372,2,0,200,0,0
33662678,ashleyynicole94,10,3036,272,258,0,565,42.6331688336,40-49,686,6,2,2,4,4,2,2,1,1,0,1.529712617250445E-4,0.0833333333,1,365,663,2.985240256774393E-4,1.797462E-5,1.8208082E-5,375,22,0,200,0,0
34268681,Gemini717,10,2811,82,94,0,7,35.3045672239,30-39,651,6,2,2,4,4,2,2,1,1,0,1.529712617250445E-4,0.0833333333,1,181,343,2.985240256774393E-4,1.797462E-5,1.8208082E-5,296,9,0,200,0,0
36175685,JJVergaraD,10,30949,1465,677,33,114,52.5673663208,50-59,785,8,2,2,4,4,2,2,3,1.8,0,1.5603344237391447E-4,0.0833333333,1,60,152,2.8446170349844565E-4,1.797462E-5,1.8208082E-5,53,5,0,201,0,0
37491208,CanadasPredsFan,10,1239,256,148,7,8,47.6940263464,40-49,711,7,2,3,5,5,2,3,7,3.0472045531,0,0.0041604996,0.15,1,0,66,5.5238768917226964E-5,1.797462E-5,1.8208082E-5,390,6,0,201,0,0
37827784,intelicode,10,1902,793,1704,11,44,36.9163644443,30-39,579,5,3,2,5,5,3,2,2,1.5,0,2.3413472340332503E-4,0.15,1,169,323,3.0742779325956316E-4,2.396616E-5,2.4277442E-5,342,11,0,200,0,0
40674652,DivoGiulio,10,1807,126,109,2,7,41.1618894203,40-49,639,6,2,1,3,3,2,1,8,4.4245061935,0,2.4756264874053715E-4,0.1666666667,1,0,66,7.659081318217085E-5,1.797462E-5,1.8208082E-5,372,38,0,200,0,0
