Twitter ID,Interaction count
400144770,0
127551326,0
856928725,45
887461274,0
316842662,4
1272977286,0
1268250757,0
1250238986,1
937513957,1
1249794612,1
818131350,7
1072032300,87
1267663496,0
900693096,1
18834072,0
1072851218,0
619105419,0
998331242,1
20268038,7
611297227,0
307963985,0
517159398,8
729134036,0
494327659,0
743129088,0
1264764085,0
501954782,2
857278716,0
94165248,7
1190178762,0
290294378,0
1079162658,2
1020248611,0
14678965,0
192302852,0
59767832,0
562628806,0
9697172,0
824473112,2
1276460149,1
989666251,0
29024261,39
63674633,1
747000386,0
985409348,0
1268953286,0
1255891004,0
1251825284,0
273283728,0
1284971173,0
622525029,47
1298696424,0
1298749087,0
1298733192,0
10151752,0
350305569,17
559466563,8
68274372,13
517905077,10
84207565,31
608835608,4
422773751,120
302418309,0
322089533,289
472286193,91
160027610,147
113243765,24
475308891,17
385748033,7
372303687,13
274214651,3
306279729,22
138616596,207
159282071,26
16755552,43
539656934,78
629785384,49
379008073,99
49687037,169
75016616,119
241355995,2
203646071,48
501433802,124
85612633,663
174137795,131
19240249,310
16116073,18
12034642,1911
315296719,36
273405104,1329
510942432,52
100689906,5
247897149,91
89704537,59
210138966,7
277730808,34
267529750,97
400836180,16
222987791,290
501380555,940
6634632,160
16315028,149
460172196,7
423823137,442
61562192,49
21315649,124
498230889,10
254999238,990
25198091,251
311286748,29
176548558,8
186285606,49
262522708,36
361058702,18
160190953,11
77254498,492
535486548,326
1058370912,117
567814795,65
46286710,712
140899011,12
962044404,131
27161840,10
107886768,51
1066176374,167
566579915,281
260448523,82
277132286,49
433867215,10
96874375,41
312660421,88
356262824,63
164324862,13
522452889,370
395691956,19
250906632,469
15254148,104
552119609,41
776270952,65
16161679,1299
378298356,555
19825011,30
131175096,27
880770732,7
95539607,24
18454463,10
291126048,0
1026385562,27
19365670,82
348090355,199
267924719,3
978426805,8
62139614,4
56382876,16
234632458,28
28115444,318
517664013,7
524754019,68
310855387,101
150121687,4
40156733,95
82494649,159
193156404,20
15616667,258
14861810,113
331241281,18
237404095,3
545801629,1
105208870,95
191017430,7
143255693,1
311469815,11
55468747,92
20697134,20
402172664,9
319538480,1
22372600,100
17393603,138
121853848,644
224400947,36
379906635,1
28191911,107
275185537,164
245400098,0
75368511,230
15206059,33
197176188,173
31610556,155
448319574,61
293056684,56
17553618,319
190386166,0
13179482,38
88316342,71
1090069562,4
493389719,9
590650380,31
93649345,5
16135612,204
104595491,82
1048447759,24
272141036,15
86344211,589
321545042,55
131171499,0
28421045,5
42553151,77
959017472,32
86874273,11
184164307,1
266965724,2
271073165,166
1260599725,36
935732234,255
72966878,8
399253284,17
497731840,54
173465009,19
102119892,2
827452826,220
40015876,77
308606319,24
50882624,0
1076505421,69
