modularity_class,count
47,992
390,674
140,674
372,534
55,207
320,102
315,36
31,14
49,14
322,13
212,11
352,10
266,9
102,8
316,8
248,7
261,7
27,6
53,6
289,6
341,6
318,6
29,5
34,5
74,5
43,5
342,5
338,5
323,5
182,4
75,4
257,4
117,4
163,4
397,4
42,3
72,3
106,3
296,3
197,3
213,3
224,3
297,3
332,3
328,3
321,3
330,3
375,3
408,3
413,3
83,2
111,2
44,2
201,2
39,2
41,2
171,2
109,2
110,2
113,2
119,2
121,2
127,2
129,2
317,2
144,2
159,2
175,2
176,2
196,2
194,2
219,2
222,2
253,2
255,2
262,2
270,2
278,2
284,2
314,2
353,2
357,2
362,2
364,2
385,2
402,2
416,2
412,2
415,2
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
28,1
30,1
32,1
33,1
35,1
36,1
37,1
38,1
40,1
45,1
46,1
48,1
50,1
51,1
52,1
54,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
73,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
103,1
104,1
105,1
107,1
108,1
112,1
114,1
115,1
116,1
118,1
120,1
122,1
123,1
124,1
125,1
126,1
128,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
141,1
142,1
143,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
160,1
161,1
162,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
172,1
173,1
174,1
177,1
178,1
179,1
180,1
181,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
195,1
198,1
199,1
200,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
214,1
215,1
216,1
217,1
218,1
220,1
221,1
223,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
249,1
250,1
251,1
252,1
254,1
256,1
258,1
259,1
260,1
263,1
264,1
265,1
267,1
268,1
269,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
279,1
280,1
281,1
282,1
283,1
285,1
286,1
287,1
288,1
290,1
291,1
292,1
293,1
294,1
295,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
319,1
324,1
325,1
326,1
327,1
329,1
331,1
333,1
334,1
335,1
336,1
337,1
339,1
340,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
354,1
355,1
356,1
358,1
359,1
360,1
361,1
363,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
373,1
374,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
386,1
387,1
388,1
389,1
391,1
392,1
393,1
394,1
395,1
396,1
398,1
399,1
400,1
401,1
403,1
404,1
405,1
406,1
407,1
409,1
410,1
411,1
414,1
417,1
418,1
419,1
