id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
808387,MichelleBlanc,10,49835,35554,16979,1963,42,65.9842975772,60-69,879,9,30,20,50,50,30,20,6,2.703046535,26160.0924296572,0.0255664282,0.047755102,0.15462185,0,66,2.8729724129291067E-4,1.8573774E-4,1.8208082E-4,390,14,0,200,0,0
956281,ingridrkonopka,10,3494,159,394,7,87,42.7503642181,40-49,685,6,8,30,38,38,8,30,6,2.6488115166,105.6255390381,0.0089713995,0.2091038407,0.4688172,0,66,1.0071960218379318E-4,5.392386E-5,5.4624245E-5,140,12,2,200,2,0.01
1307791,kady,10,130573,27144,3131,1793,40,72.812631238,70-79,969,10,1324,217,1541,1541,1324,217,6,2.2480749916,195564.364197078,1,0.0273599535,0.048092734,0,66,0.0075012887,0.00793879,0.007871961,140,3425,0,200,0,0
1323671,BLOGBloke,10,41619,7033,6094,150,2088,53.3576045388,50-59,783,8,1,2,3,3,1,2,7,3.1295614329,0,0.0015679932,0.1666666667,0.5,0,66,4.689617954764729E-5,1.198308E-5,1.2138721E-5,372,11,0,201,0,0
2183601,dougsymington,10,22795,2239,1121,130,4180,52.7847785255,50-59,729,7,49,44,93,93,49,44,6,2.4609976565,1958.5762525751,0.0773469306,0.0718793829,0.39366516,0,66,2.3720990906718996E-4,2.99577E-4,3.0346803E-4,47,8,1,199,1,0.0050251256
4093441,marcellam,10,7536,2324,2134,90,65,66.1522354509,60-69,743,7,151,154,305,305,151,154,6,2.3086709073,9763.705707339,0.2207432307,0.0810504745,0.23522907,0,66,9.852560215345611E-4,9.107141E-4,9.1647345E-4,390,55,0,201,0,0
5130001,DataBrokers,10,7713,291,276,19,15,41.6521474189,40-49,587,7,1,1,2,2,1,1,8,3.432541011,0,5.14203510396076E-4,0,0,0,66,4.918548551045996E-5,1.198308E-5,1.2138721E-5,47,0,0,202,0,0
5708752,andymckay,10,6339,707,362,64,10,47.9212045473,40-49,718,6,1,2,3,3,1,2,7,3.2313357884,0.0657527674,0.0013080333,0,0,0,66,4.807502566858628E-5,1.198308E-5,1.2138721E-5,372,1,0,200,0,0
5748362,Senturion,10,10214,631,775,31,197,54.0183461108,50-59,748,7,4,8,12,12,4,8,7,3.1660528959,2.9853206695,0.0023686614,0.1893939394,0.3888889,0,66,6.538418947001583E-5,2.99577E-5,3.0346804E-5,140,1,0,200,0,0
5837592,dilip_andrade,10,7160,309,239,9,22,42.0056625437,40-49,642,6,16,18,34,34,16,18,7,2.8704385671,40.7506324687,0.0377751802,0.196969697,0.47578347,0,66,2.577057430978078E-4,1.0185618E-4,1.0317913E-4,140,0,0,200,0,0
