id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,old_clustering,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score,cluster_diff
35965408,16jesse31,10,4329,357,485,1,970,41.8653041837,40-49,668,7,1,2,3,3,1,2,10,4.1210889882,0,0.0012923654,0.1666666667,1,0,135,5.02963348097726E-5,5.0330927E-5,5.1639556E-5,505,0.14285715,7,0,199,0,0,0.85714285
405986825,joanmuise,10,176,21,99,0,6,20.8986293265,20-29,312,4,1,2,3,3,1,2,11,4.544900447,0,0.0012276961,0.1666666667,1,0,135,5.022489604991657E-5,5.0330927E-5,5.1639556E-5,343,0.33333334,4,1,190,1,0.0052631579,0.66666666
829767386,YosheLeigh1,10,127,14,68,0,0,19.3782400852,10-19,312,3,1,2,3,3,1,2,11,4.2405526209,0,0.001482571,0.1666666667,1,0,135,5.0579432359531754E-5,5.0330927E-5,5.1639556E-5,257,0.33333334,3,0,131,0,0,0.66666666
1267401278,HagiazoHuios,10,8,6,27,0,0,14.6694107797,10-19,28,1,1,2,3,3,1,2,12,5.0451036164,0,3.772525221188337E-4,0.1666666667,1,0,135,8.656879533355665E-5,5.0330927E-5,5.1639556E-5,353,0.33333334,1,0,10,0,0,0.66666666
266225680,fyrwulf13,10,674,30,94,0,25,14.675146986,10-19,497,4,1,2,3,3,1,2,10,4.1515644047,0,0.0024285215,0.1666666667,1,0,135,5.407591541934201E-5,5.0330927E-5,5.1639556E-5,257,0.37121212,1,1,200,1,0.005,0.62878788
976111975,zinniaz4bees,10,176,15,81,1,27,25.123184475,20-29,88,3,1,2,3,3,1,2,11,4.0154408777,0,0.0039143912,0.1666666667,1,0,135,5.175249015735946E-5,5.0330927E-5,5.1639556E-5,283,0.43333334,0,0,192,0,0,0.56666666
31158134,rleisti,10,2725,216,316,11,17,28.719343032,20-29,495,6,1,2,3,3,1,2,10,3.9987809833,0,0.0050273053,0.1666666667,1,0,135,5.147322323127064E-5,5.0330927E-5,5.1639556E-5,505,0.45,0,0,199,0,0,0.55
508876374,margiebarkley,10,389,32,71,0,5,21.5248991517,20-29,492,4,3,0,3,3,3,0,0,0,0,0.0245746326,0.5,0.8333333,0,121,5.486659497723304E-5,1.00661855E-4,0,99,0.2857143,2,0,199,0,0,0.547619
545801629,PauliticalEye,10,12326,84,119,5,146,28.14274658,20-29,558,8,2,1,3,3,2,1,10,3.9744006501,0,0.0119053773,0.1666666667,1,0,135,5.1778437083346646E-5,7.549639E-5,7.7459335E-5,99,0.5,1,0,201,0,0,0.5
70693316,terrylo_calgary,10,20484,644,592,19,1143,63.8279857241,60-69,738,8,2,2,4,4,2,2,11,3.7716375457,0,0.0260361447,0.0833333333,1,0,135,5.145321836955657E-5,7.549639E-5,7.7459335E-5,353,0.5,8,0,201,0,0,0.5
1198946628,JohnZwicker1,10,1251,197,554,2,214,47.7878462285,40-49,606,6,1,2,3,3,1,2,11,4.2876879317,0,0.0050576403,0.1666666667,1,0,135,4.993837400203766E-5,5.0330927E-5,5.1639556E-5,353,0.5,5,1,201,1,0.0049751244,0.5
427743419,jimmydawes107,10,123,2,58,0,2,13.4493879176,10-19,83,3,0,2,2,2,0,2,10,3.9244516653,0,0,0.5,1,0,356,4.4780486537007367E-5,0,2.5819778E-5,283,0.5222222,0,0,157,0,0,0.4777778
311469815,unsilenced_majo,10,214,7,127,0,0,27.7482487343,20-29,400,4,1,1,2,2,1,1,10,4.0361641609,0,0.0044446574,0.5,1,0,135,5.464100699589477E-5,5.0330927E-5,5.1639556E-5,505,0.5471698,11,3,200,3,0.015,0.4528302
392880793,prab_the_man,10,2671,134,214,3,8,43.5350529348,40-49,683,6,2,1,3,3,2,1,10,4.0365704998,0,0.0119099896,0.1666666667,1,0,135,6.291657190405784E-5,7.549639E-5,7.7459335E-5,505,0.55,8,0,201,0,0,0.45
16438512,ArtTherapyPlus,10,147,49,146,0,2,16.0429048908,10-19,200,3,0,4,4,4,0,4,10,4.2266450041,0,0,0.5,0.9166667,0,471,4.4780486537007367E-5,0,2.5819778E-5,257,0.47777778,0,0,173,0,0,0.43888892
150293439,gaufredus,10,865,152,252,7,46,39.230371378,30-39,584,5,3,4,7,7,3,4,11,4.9853718001,14.59504807,0.0021345385,0.119047619,0.8333333,0,135,9.346057989983634E-5,1.00661855E-4,1.0327911E-4,267,0.4,5,0,200,0,0,0.4333333
1007615486,Creesharpshootr,10,155,48,211,0,22,23.149291327,20-29,219,4,0,2,2,2,0,2,10,3.9260763607,0,0,0.5,1,0,348,5.709705617852713E-5,0,2.5819778E-5,99,0.5714286,1,0,199,0,0,0.4285714
865633705,EnergyAlberta,10,467,147,217,2,1,33.438307458,30-39,414,6,1,2,3,3,1,2,11,3.8086143844,0,0.0241051796,0.1666666667,1,0,135,5.73391858360039E-5,5.0330927E-5,5.1639556E-5,353,0.6,0,0,203,0,0,0.4
33666565,profaucoin,10,441,96,101,1,0,25.2310961151,20-29,435,4,3,2,5,5,3,2,11,4.3892726534,0,0.0034628143,0.15,1,0,135,1.1009257661652729E-4,1.00661855E-4,1.0327911E-4,283,0.6,1,0,200,0,0,0.4
128676402,natcampbell92,10,849,89,158,1,160,37.4595841457,30-39,552,5,1,2,3,3,1,2,10,3.7809833401,0,0.0078290605,0.1666666667,1,0,135,5.173822998173059E-5,5.0330927E-5,5.1639556E-5,99,0.6,3,0,201,0,0,0.4
623174642,EmraldKatie,10,502,36,348,0,10,26.9260191948,20-29,377,5,0,2,2,2,0,2,11,4.3456539399,0,0,0.5,1,0,395,6.065364118003917E-5,0,2.5819778E-5,353,0.64444447,0,2,200,2,0.01,0.35555553
1250238986,CanadianPoliKid,10,33,8,196,0,0,14.7207688667,10-19,31,2,0,8,8,8,0,8,11,4.128757108,0,0,0.4285714286,0.66071427,0,137,4.4780486537007367E-5,0,2.5819778E-5,353,0.32395643,1,0,38,0,0,0.33675784
303853801,JensenMusicJMI,10,4235,521,566,13,2,44.1082279926,40-49,631,7,1,1,2,2,1,1,1,1,0,8.046619634557215E-4,0.5,0.5,0,117,5.286013865389503E-5,5.0330927E-5,5.1639556E-5,257,0.16666667,6,0,201,0,0,0.33333333
559466563,Donness,10,127,40,95,1,0,30.331271059,30-39,567,4,2,2,4,4,2,2,11,5.1015847217,0,0.0011808492,0.0833333333,1,0,135,7.007930727725485E-5,7.549639E-5,7.7459335E-5,99,0.6666667,8,0,155,0,0,0.3333333
266914729,Macktrocity,10,10,6,26,0,2,11.8833382982,10-19,26,1,2,2,4,4,2,2,11,4.7106867127,0,0.0017681248,0.0833333333,1,0,135,5.1682692711646634E-5,7.549639E-5,7.7459335E-5,99,0.6666667,0,1,12,1,0.0833333333,0.3333333
60116717,KT_Mtjoy,10,110,26,101,0,0,13.1898573515,10-19,176,3,2,2,4,4,2,2,10,3.9252336449,0,0.0096791933,0.25,1,0,135,5.316088631847294E-5,7.549639E-5,7.7459335E-5,283,0.6666667,0,0,118,0,0,0.3333333
235741775,74suited,10,406,101,472,0,5,20.3499977596,20-29,420,4,3,3,6,6,3,3,10,3.7687931735,0,0.0539833017,0.2,1,0,135,6.223728746255741E-5,1.00661855E-4,1.0327911E-4,353,0.6785714,1,0,200,0,0,0.3214286
16372926,BernieMason,10,44,12,86,0,0,18.9223777275,10-19,92,1,2,2,4,4,2,2,10,4.1194636327,0,0.002794929,0.0833333333,1,0,135,4.9358822703194175E-5,7.549639E-5,7.7459335E-5,257,0.6868132,3,0,42,0,0,0.3131868
299241117,michelle373737,10,1558,282,1064,5,67,42.3427068853,40-49,594,6,6,10,16,16,6,10,10,3.80292564,587.0397983674,0.0150961385,0.1291666667,0.6666667,0,135,8.050173538560402E-5,1.7615824E-4,1.8073844E-4,283,0.3809524,22,0,200,0,0,0.2857143
167156495,maggie172,10,2879,47,75,2,91,41.2771575148,40-49,633,6,3,1,4,4,3,1,11,4.3380739537,1.741084151,0.0212387621,0.1666666667,0.5,0,135,5.9633837560943835E-5,1.00661855E-4,1.0327911E-4,99,0.21428572,2,1,201,1,0.0049751244,0.28571428
395475144,TreenDream,10,20,80,772,0,0,20.2352449031,20-29,311,3,0,7,7,7,0,7,11,3.979285134,0,0,0.4047619048,0.6904762,0,774,5.205340031169462E-5,0,2.5819778E-5,353,0.42028984,0,1,20,1,0.05,0.27018636
