Pair, KTAU, Spearman
Klout Score/Indegree,0.4183,0.5901
Kred Influence/Indegree,0.3944,0.5516
Authority/Indegree,0.959,1
Closeness Centrality/Indegree,-0.1558,-0.1282
Betweenness Centrality/Indegree,0.7099,0.8865
Statuses Count/Indegree,0.2842,0.4084
Followers Count/Indegree,0.4349,0.6003
Eigenvector Centrality/Indegree,0.8557,0.9747
Clustering Coefficient/Indegree,-0.019,0.0685
Final Term Score/Indegree,0.2226,0.4095
Interaction Count/Indegree,0.49,0.676
Kred Influence/Klout Score,0.597,0.7801
Authority/Klout Score,0.4183,0.5901
Closeness Centrality/Klout Score,-0.0712,-0.1052
Betweenness Centrality/Klout Score,0.3932,0.5608
Statuses Count/Klout Score,0.4428,0.6173
Followers Count/Klout Score,0.594,0.7826
Eigenvector Centrality/Klout Score,0.3733,0.533
Clustering Coefficient/Klout Score,-0.135,-0.1762
Final Term Score/Klout Score,0.0581,0.1078
Interaction Count/Klout Score,0.4667,0.6449
Authority/Kred Influence,0.3944,0.5516
Closeness Centrality/Kred Influence,-0.1245,-0.1764
Betweenness Centrality/Kred Influence,0.3607,0.5095
Statuses Count/Kred Influence,0.6876,0.8578
Followers Count/Kred Influence,0.6426,0.8316
Eigenvector Centrality/Kred Influence,0.3473,0.4872
Clustering Coefficient/Kred Influence,-0.1496,-0.1963
Final Term Score/Kred Influence,0.0226,0.0427
Interaction Count/Kred Influence,0.4541,0.6315
Closeness Centrality/Authority,-0.1558,-0.1282
Betweenness Centrality/Authority,0.7099,0.8865
Statuses Count/Authority,0.2842,0.4084
Followers Count/Authority,0.4349,0.6003
Eigenvector Centrality/Authority,0.8557,0.9747
Clustering Coefficient/Authority,-0.019,0.0685
Final Term Score/Authority,0.2226,0.4095
Interaction Count/Authority,0.49,0.676
Betweenness Centrality/Closeness Centrality,-0.1178,-0.0527
Statuses Count/Closeness Centrality,-0.1081,-0.1509
Followers Count/Closeness Centrality,-0.1321,-0.1881
Eigenvector Centrality/Closeness Centrality,-0.1707,-0.1068
Clustering Coefficient/Closeness Centrality,0.2351,0.3059
Final Term Score/Closeness Centrality,-0.0206,-0.0374
Interaction Count/Closeness Centrality,-0.1335,-0.1879
Statuses Count/Betweenness Centrality,0.2699,0.3891
Followers Count/Betweenness Centrality,0.4195,0.5831
Eigenvector Centrality/Betweenness Centrality,0.6776,0.8596
Clustering Coefficient/Betweenness Centrality,-0.0913,-0.0231
Final Term Score/Betweenness Centrality,0.1856,0.3453
Interaction Count/Betweenness Centrality,0.4275,0.6008
Followers Count/Statuses Count,0.5247,0.71
Eigenvector Centrality/Statuses Count,0.262,0.3751
Clustering Coefficient/Statuses Count,-0.116,-0.1593
Final Term Score/Statuses Count,-0.0089,-0.0147
Interaction Count/Statuses Count,0.282,0.4071
Eigenvector Centrality/Followers Count,0.387,0.5377 
Clustering Coefficient/Followers Count,-0.1711,-0.2188 
Final Term Score/Followers Count,0.0484 ,0.0894 
Interaction Count/Followers Count,0.3808,0.5353
Clustering Coefficient/Eigenvector Centrality,0.0117,0.1031 
Final Term Score/Eigenvector Centrality,0.2352,0.4320 
Interaction Count/Eigenvector Centrality,0.4308,0.6031 
Final Term Score/Clustering Coefficient,0.0589,0.1100 
Interaction Count/Clustering Coefficient,-0.0701,-0.0757
Interaction Count/Final Term Score,0.1257,0.2332
