id,text,description,time_captured,lang,self-reported location
17314758,"Memo to #CPC: @ThomasMulcair did raise the issue of tax evasion with US gov, businesses &amp; in public comments. Nice of you to ask. #cdnpoIi",A future to believe in | Un avenir prometteur,2013-03-20 18:38:58 UTC,en,"Ottawa, Ontario"
591378710,RT @La_Segunda: #Economia Andrés Santa Cruz fue elegido nuevo presidente de la #CPC: http://t.co/dFRpTJSlRg,,2013-03-20 17:47:08 UTC,es,Tomé - Concepción - Chile.
48931430,"@Maxx_Chaos @heySMM but in the meantime, the #CPC is galloping to the right and the middle is following",bakunin in the streets & marx in the sheets,2013-03-28 16:22:32 UTC,en,occupied salish territories
6013662,"RT @kkirkup: Several #CPC MPs, who are concerned about shark conservation, privately support bill but sources suggest PMO made effort to ...","East Van Hacker & Info Activist. Parent of an Autistic Child. First commit on PhoneGap Android/Apache Cordova. Opinions here are my own, not my employer",2013-03-27 23:06:48 UTC,en,East Vancouver
487803136,"Got some studying to do today. 
#CPC 📕✏",▌│█║▌║▌║ gσ∂ αвσvε αℓℓ | sαgιтαяяιυs | вℓεssε∂ ║▌║▌║█│▌,2013-03-16 14:21:25 UTC,en,INDY by way of VA
347321914,@YoverlysFdz sí buenas...recordando el viejo día #cpc ...digo...x el clima... #trabajando,,2013-03-15 15:20:40 UTC,es,""
310286381,"Minister Ashfield, in keeping with your archaic thinking, shouldn't you be in a home for the aged? #cpc #cdnpoli @LisaKirbie","Shopping addict, love deals and know where to find them. Come follow me to get the lowest deals of the day.",2013-03-26 00:24:11 UTC,en,Canada
118743846,Conflict of Interest Commish finds former #CPC MP Jay Hill contravened Conflict of Interest Act.  Hill issues statement ....1/3  #cdnpoli,"CTV, Canada's largest private broadcaster, offers a wide range of quality news, sports, information, and entertainment programming. ",2013-03-26 22:30:06 UTC,en,Ottawa
20054216,RT @NadineLumley: How can public trust in Canadian democracy in the face of so much #cpc Conservative election corruption? http://t.co/N ...,I write @harrowprincess & I work @queensbookstore I freelance @g33kdesign I love cycling & guitar. I only #followback if you're interesting and talkative. :) ,2013-03-20 15:27:29 UTC,en,"Kingston, Ontario, Canada"
178794231,"RT @northernck: #CPC blackmailing #FNs into signing away their power over water, resource development for continued funding.
#cdnpoli
ht ...","A Nature-lover, concerned citizen, geek, uncle with bad jokes, and corny husband. Loving, Living and Learning!",2013-03-25 13:11:31 UTC,en,Alberta
1267401278,"RT @MrDanielGilman: Jobs, growth, &amp; long-term prosperity don't makeup 4 undermining democracy. I'm #CPC &amp; I'm upset that #M408 w ...",A man can do nothing better with his life than surrender it to Jesus. By His grace he will be what he was made to be and do what he is called to do. ,2013-03-23 15:52:26 UTC,en,Ottawa
17543769,RT @LAWZSPOKEN: This new Epp project that we finished last night is the best thing I've been apart of. #CPC coming soon,"DJ x Graphics x Video x Photo x Crate Digger x Writer x Psychologist x Renaissance Man x Spacegod 
#GreenTeamOfficial",2013-03-21 20:49:34 UTC,en,"Portland, Oregon"
138121045,Vamos estudar um pouco? Amanhã é dia de prova do Dr.Cláudio... #cpc  #macbook #vademecum… http://t.co/5iVNcwRnRv,Sócio-Gerente da Empresa de Recortes Eletrônicos Magalhães Publicações; Músico; Guitarrista/Violonista-SideMan da Dupla Vicentti & Victória e músico Freelancer,2013-03-19 01:39:16 UTC,pt,""
