id,bio,latest_tweet_text
400144770,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/wdRQoQGTG9 #NDP #cdnpoli"
127551326,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/K7l80XTZLW #NDP #cdnpoli"
856928725,Official Twitter account of Cross & Passion College Ballycastle,Well done to 8LG who completed a sponsored walk today to Marconi Cottage and back raising £218 for Trocaire #CPC #Teameffort
887461274,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/EftcXMKzu6 #NDP #cdnpoli"
316842662,Travelling chef. Liberal supoorter. Centrist. .,Another #cpc underling gets thrown under the bus. #cdnpoli #hw http://t.co/PCToWfGmkA underli
1272977286,,RT @CPYAMC: Spread the word about this exciting missions opportunity for young adults in the #CPC &amp; #CPCA http://t.co/2NLl19q59f htt ...
1268250757,,"Great new blog on mortgage interference http://t.co/1Ey7hB4Krr 
#cndpoli #badidea #cpc #finance"
1250238986,Just a kid interested in politics... how harmless is that?,"RT @FBoivinNPD: ""@samdinicol: Hypocrite alert: Former Bloc Quebecois member Denis Lebel becomes #CPC Intergovernmental Affairs Minister. ..."
937513957,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/p7l7mD11ce #NDP #cdnpoli"
1249794612,Page de l'équipe de l'opposition officielle sur le Comité Industrie. / Official Opposition Team on the Standing Committee on Industry,RT @GlennThibeault: RT @kennedystewart: Debate on #ndp opposition day motion on science will start in a few minutes. Will #cpc support?
818131350,"Devoted to God, Connected to Others, Influencing Our World!",Protect our women and girls from predators - Stop the Gender/Bathroom Bill C279 #cdnpoli #cpc @familyaction http://t.co/aFBMbZZ28I
1072032300,Nehiyaw ikwew #idlenomore #INM #opthunderbird #MMIW,RT @Nonanon_anon: It's not winning if you have 2 cheat. @pmharper #cdnpoli time to deregister the #cpc. cheats and liars. Look at statem ...
1267663496,"Today's debate, tomorrow's policy.
Launching April 2013","RT @RuralBC: First Nations envoy on oil, energy show #CPC aim to divide, conquer No doube about it #Idlenomore http://t.co/gkhAPu4Aok"
900693096,,RT @SirLoinn: RT @YourAnonNews #CPC govt muzzles librarians &amp; archivists http://t.co/8s4xQnP6Iu #cdnpoli #lpc #ndp @bobraeMP @MarcGa ...
18834072,"Hinkle Group: a recruiting asset for candidates that want careers with successful businesses, and for companies that require talent and character for their jobs","Looking for experienced Certified Professional Coder. Exp with dermatology, gynecology, or pathology required. #nashville, #jobs, #CPC"
1072851218,,"We've launched our new #CoD #CallOfDuty #BlackOps2 community, join us at #CPC http://t.co/qfmMHUEdGN"
619105419,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/ZQ7WMImMZL #NDP #cdnpoli"
998331242,Surely after every hardship there is ease,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/OkINlUl1yt #NDP #cdnpoli"
20268038,Leading citizen action for a better Canada,gender identity - a false ideological concept - a social blight - a legal danger. Defeat Bill C279 Conservative MPs.  #cdnpoli #cpc #gender
611297227,"Husband and proud father, computer & strategy board game enthusiast, enjoys the outdoors. Computer tech teacher. We are all children of the same universe.",RT @JamesJJRyan: Harper's Canada falls to 11th on UN Development Index: http://t.co/yRREiOIJCi #cdnpoli #oecta #canlab #cpc #ndp #lpc #u ...
307963985,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/rXxZi7v6B6 #NDP #cdnpoli"
517159398,Just thinking out loud...,Hey!! What’s KD Lang doing on Power &amp; Politics with @evansolomoncbc?! #lpcldr #PnPCBC #CPC #cdnpoli
729134036,#followback#TeamBoson #Teamweirdo #TeamVenezuelan #TeamItalian,"CPC
cdnpoli
Funny how #CPC tells us we need reform in the Senate system: and then shows us exactly why we need it. #cdnpoli"
494327659,,RT @NSValley: @GregWeston30 NO the #CPC DID NOT win the elect fairly! NO @ElectionCDA IS NOT doing much about it! @CBCNews Go investigat ...
743129088,,Que vous soyez #cpc #lpc ou ndp# ce soir nous somme tous GSP #UFC158
1264764085,Alles over hardlopen!,Eerste post in mijn nieuwe blog is een feit. #blog #cpc
501954782,,The battle starts tonight. #CPC #playoffs #packthebarn
857278716,,"Instead of just helping #CPC insiders, #Budget2013 could deliver real things for real people: http://t.co/FgPQIrY4lv #NDP #cdnpoli"
94165248,,Very exciting news I will announce soon. #bigthingscoming #dreamsdocometrue #2015 #TCOT #cpc
1190178762,A conservative think tank for future leaders of the CPC. please feel free to share you ideas of where you would like this think tank to go.,The LPC leadership race has become even more of a joke. Letting Mr. Trudeau lead off QP in leader position but no one else. Joke! #CPC
290294378,Not one of the assholes that voted for Harper...,"RT @TranslateHarper: ""Bill C-10 has passed"" // see-10 of your rights go out the window! #cdnpoli #harper #c10 #cpc"
1079162658,"For all your driver training requirements including PCV, HGV, B + E and Drivers CPC. 
An inspiring place to learn, develop and achieve",Are you ready for driver CPC????? Come to our course for fun and informative learning!!!! #driver #training #logistics #drivercpc #cpc
