Twitter ID,Score,Num Tweets,Num tweets including at least one term
400144770,0,33,0
127551326,0,15,0
856928725,0,69,0
887461274,0,19,0
316842662,0,33,0
1272977286,0,30,0
1268250757,0,11,0
1250238986,0,38,0
937513957,0,5,0
1249794612,1,9,1
818131350,0,52,0
1072032300,0,7,0
1267663496,0,8,0
900693096,0,15,0
18834072,0,30,0
1072851218,0,4,0
619105419,0,19,0
998331242,0,13,0
20268038,0,28,0
611297227,0,21,0
307963985,0,2,0
517159398,0,3,0
729134036,0,1,0
494327659,0,15,0
743129088,0,3,0
1264764085,0,7,0
501954782,0,9,0
857278716,0,26,0
94165248,0,36,0
1190178762,6,29,6
290294378,0,2,0
1079162658,0,24,0
1020248611,0,10,0
14678965,0,13,0
192302852,0,15,0
59767832,0,8,0
562628806,0,40,0
9697172,0,22,0
824473112,0,1,0
1276460149,0,19,0
989666251,0,10,0
29024261,0,6,0
63674633,0,1,0
747000386,0,23,0
985409348,0,1,0
1268953286,0,1,0
1255891004,0,1,0
1251825284,0,5,0
273283728,0,1,0
1284971173,0,1,0
622525029,0,1,0
1298696424,0,1,0
1298749087,0,1,0
1298733192,0,2,0
10151752,0,1,0
350305569,0,180,0
559466563,0,155,0
68274372,1,201,1
517905077,2,202,2
84207565,3,201,3
608835608,0,203,0
422773751,1,227,1
302418309,0,267,0
322089533,1,246,1
472286193,0,223,0
160027610,15,362,15
113243765,0,206,0
475308891,0,208,0
385748033,0,200,0
372303687,1,201,1
274214651,0,200,0
306279729,0,201,0
138616596,0,204,0
159282071,4,204,4
16755552,2,202,2
539656934,0,199,0
629785384,0,200,0
379008073,2,203,2
49687037,1,212,1
75016616,10,200,9
241355995,0,202,0
203646071,0,210,0
501433802,19,247,19
85612633,87,338,87
174137795,0,203,0
19240249,0,203,0
16116073,0,199,0
12034642,17,274,17
315296719,0,225,0
273405104,17,376,17
510942432,1,200,1
100689906,0,202,0
247897149,1,200,1
89704537,0,207,0
210138966,3,200,3
277730808,3,202,3
267529750,1,232,1
400836180,1,200,1
222987791,0,246,0
501380555,0,268,0
6634632,1,213,1
16315028,0,221,0
460172196,4,200,4
423823137,2,388,2
61562192,2,200,2
21315649,16,229,12
498230889,2,200,2
254999238,1,225,1
25198091,0,235,0
311286748,22,200,22
176548558,0,200,0
186285606,1,207,1
262522708,0,203,0
361058702,1,200,1
160190953,4,202,3
77254498,0,251,0
535486548,1,259,1
1058370912,0,299,0
567814795,5,209,5
46286710,6,211,5
140899011,6,200,6
962044404,0,231,0
27161840,0,200,0
107886768,0,202,0
1066176374,4,217,4
566579915,33,237,33
260448523,4,200,4
277132286,0,207,0
433867215,1,200,1
96874375,0,204,0
312660421,0,200,0
356262824,2,200,2
164324862,0,207,0
522452889,2,253,2
395691956,2,200,2
250906632,0,212,0
15254148,7,216,5
552119609,0,225,0
776270952,0,209,0
16161679,0,210,0
378298356,3,267,3
19825011,1,201,1
131175096,1,203,1
880770732,1,200,1
95539607,5,201,5
18454463,5,200,5
291126048,6,198,5
1026385562,1,204,1
19365670,1,200,1
348090355,0,204,0
267924719,0,200,0
978426805,1,200,1
62139614,1,205,1
56382876,2,200,2
234632458,6,205,6
28115444,4,203,4
517664013,1,199,1
524754019,6,207,5
310855387,1,215,1
150121687,6,200,6
40156733,0,213,0
82494649,4,216,4
193156404,0,208,0
15616667,0,209,0
14861810,0,202,0
331241281,3,198,3
237404095,1,200,1
545801629,0,201,0
105208870,4,212,4
191017430,2,200,2
143255693,0,191,0
311469815,3,200,3
55468747,7,200,7
20697134,0,201,0
402172664,0,201,0
319538480,0,200,0
22372600,0,201,0
17393603,16,202,15
121853848,0,207,0
224400947,1,200,1
379906635,2,200,1
28191911,13,216,13
275185537,5,200,5
245400098,0,200,0
75368511,5,203,5
15206059,1,201,1
197176188,2,206,2
31610556,2,201,2
448319574,1,156,1
293056684,7,200,7
17553618,0,216,0
190386166,0,200,0
13179482,0,205,0
88316342,5,199,5
1090069562,0,201,0
493389719,3,200,3
590650380,1,212,1
93649345,6,200,6
16135612,0,213,0
104595491,6,200,6
1048447759,69,210,67
272141036,1,200,1
86344211,3,212,3
321545042,1,201,1
131171499,2,200,2
28421045,2,200,2
42553151,0,199,0
959017472,0,200,0
86874273,1,199,1
184164307,1,199,1
266965724,0,200,0
271073165,4,200,4
1260599725,0,195,0
935732234,1,313,1
72966878,0,200,0
399253284,5,209,4
497731840,0,211,0
173465009,0,200,0
102119892,0,203,0
827452826,0,238,0
40015876,1,200,1
308606319,0,100,0
50882624,0,209,0
1076505421,0,235,0
78641250,33,200,31
75436573,0,209,0
436158344,0,115,0
393056809,13,200,12
462214859,1,202,1
38494251,0,200,0
587138551,1,207,1
41378883,0,201,0
1186454012,0,200,0
1191396000,0,199,0
358291440,0,202,0
273704144,2,194,1
821734045,5,238,5
195000753,3,201,3
28286822,0,204,0
1075087957,0,200,0
22853441,0,199,0
607531851,0,221,0
49707617,5,209,4
513739938,0,235,0
444262205,1,203,1
494580521,1,202,1
18681012,5,195,5
29864721,0,200,0
370384969,0,103,0
756913038,6,200,6
