matchup,ktau,spearman
indegree/klout_score,0.5305,0.3692
indegree/kred_influence,0.4743,0.3309
authority/indegree,0.8020,0.6175
closnesscentrality/indegree,1.0000,0.9426
betweenesscentrality/indegree,0.5305,0.3692
indegree/statuses_count,0.4743,0.3309
followers_count/indegree,-0.3172,-0.2701
eigencentrality/indegree,-0.1530,-0.1025
clustering/indegree,-0.1687,-0.1171
final_term_score/indegree,-0.3172,-0.2701
indegree/interaction_count,0.8664,0.6735
klout_score/kred_influence,0.5165,0.3558
authority/klout_score,0.4576,0.3186
closnesscentrality/klout_score,0.8664,0.6735
betweenesscentrality/klout_score,-0.2349,-0.2178
klout_score/statuses_count,0.3674,0.2513
followers_count/klout_score,0.6737,0.4872
eigencentrality/klout_score,0.8910,0.7208
clustering/klout_score,0.3674,0.2513
final_term_score/klout_score,-0.1513,-0.1054
interaction_count/klout_score,0.3689,0.2529
authority/kred_influence,0.5667,0.3994
closnesscentrality/kred_influence,0.7866,0.5957
betweenesscentrality/kred_influence,0.8390,0.6511
kred_influence/statuses_count,0.5667,0.3994
followers_count/kred_influence,-0.2103,-0.1442
eigencentrality/kred_influence,0.5615,0.3968
clustering/kred_influence,0.7518,0.5591
final_term_score/kred_influence,0.9673,0.8209
interaction_count/kred_influence,0.4647,0.3199
authority/closnesscentrality,0.4040,0.2781
authority/betweenesscentrality,0.9673,0.8209
authority/statuses_count,-0.3282,-0.3003
authority/followers_count,0.8331,0.6327
authority/eigencentrality,0.3271,0.2226
authority/clustering,0.5117,0.3565
authority/final_term_score,0.2089,0.1046
authority/interaction_count,-0.0840,-0.0682
betweenesscentrality/closnesscentrality,-0.1241,-0.0981
closnesscentrality/statuses_count,0.2089,0.1046
closnesscentrality/followers_count,0.1407,0.1133
closnesscentrality/eigencentrality,0.0845,0.0045
closnesscentrality/clustering,-0.1183,-0.0888
closnesscentrality/final_term_score,-0.1097,-0.0952
closnesscentrality/interaction_count,0.2651,0.1535
betweenesscentrality/statuses_count,0.3362,0.1687
betweenesscentrality/followers_count,0.0343,0.0166
betweenesscentrality/eigencentrality,-0.0098,-0.0060
betweenesscentrality/clustering,0.3362,0.1687
betweenesscentrality/final_term_score,-0.1585,-0.0797
betweenesscentrality/interaction_count,0.2738,0.1355
followers_count/statuses_count,-0.0155,-0.0090
eigencentrality/statuses_count,0.0283,0.0135
clustering/statuses_count,0.3714,0.1868
final_term_score/statuses_count,0.2009,0.1023
interaction_count/statuses_count,0.6313,0.4485
eigencentrality/followers_count,0.6288,0.4490
clustering/followers_count,0.5891,0.4144
final_term_score/followers_count,0.6313,0.4485
followers_count/interaction_count,-0.2455,-0.1687
clustering/eigencentrality,0.5683,0.3955
eigencentrality/final_term_score,0.4017,0.2755
eigencentrality/interaction_count,0.5005,0.3477
clustering/final_term_score,0.5468,0.3793
clustering/interaction_count,0.0113,-0.0019
final_term_score/interaction_count,0.1350,0.0677
