matchup,ktau,spearman
indegree/klout_score,-0.1658,-0.0984
indegree/kred_influence,0.6059,0.4159
authority/indegree,0.0726,0.1222
closnesscentrality/indegree,1.0000,0.8444
betweenesscentrality/indegree,-0.1658,-0.0984
indegree/statuses_count,0.6059,0.4159
followers_count/indegree,-0.7902,-0.5730
eigencentrality/indegree,-0.0348,-0.0381
clustering/indegree,-0.4546,-0.3222
final_term_score/indegree,-0.7902,-0.5730
indegree/interaction_count,0.5204,0.3444
klout_score/kred_influence,0.1053,0.0714
authority/klout_score,0.4727,0.3079
closnesscentrality/klout_score,0.5204,0.3444
betweenesscentrality/klout_score,-0.4632,-0.3444
klout_score/statuses_count,0.6743,0.4667
followers_count/klout_score,0.0342,0.0413
eigencentrality/klout_score,0.9099,0.7667
clustering/klout_score,0.6743,0.4667
final_term_score/klout_score,-0.4957,-0.3460
interaction_count/klout_score,0.4632,0.3222
authority/kred_influence,0.7582,0.5413
closnesscentrality/kred_influence,-0.0051,0.0381
betweenesscentrality/kred_influence,0.6977,0.5159
kred_influence/statuses_count,0.7582,0.5413
followers_count/kred_influence,-0.5336,-0.3619
eigencentrality/kred_influence,0.6126,0.4571
clustering/kred_influence,0.6913,0.5270
final_term_score/kred_influence,0.9773,0.8444
interaction_count/kred_influence,-0.1215,-0.0556
authority/closnesscentrality,0.6374,0.4698
authority/betweenesscentrality,0.9773,0.8444
authority/statuses_count,-0.8089,-0.6111
authority/followers_count,0.4858,0.3333
authority/eigencentrality,0.7067,0.5190
authority/clustering,0.7171,0.5286
authority/final_term_score,0.4095,0.2571
authority/interaction_count,-0.3329,-0.2286
betweenesscentrality/closnesscentrality,0.0683,0.0476
closnesscentrality/statuses_count,0.4095,0.2571
closnesscentrality/followers_count,-0.3458,-0.2063
closnesscentrality/eigencentrality,-0.2832,-0.1937
closnesscentrality/clustering,0.1521,0.0857
closnesscentrality/final_term_score,0.0458,0.0333
closnesscentrality/interaction_count,0.4602,0.2968
betweenesscentrality/statuses_count,0.2015,0.1302
betweenesscentrality/followers_count,0.0015,0.0063
betweenesscentrality/eigencentrality,0.3599,0.2365
betweenesscentrality/clustering,0.2015,0.1302
betweenesscentrality/final_term_score,-0.0656,-0.0397
betweenesscentrality/interaction_count,0.2645,0.1857
followers_count/statuses_count,0.2163,0.1556
eigencentrality/statuses_count,0.0760,0.0413
clustering/statuses_count,0.2111,0.1349
final_term_score/statuses_count,0.0590,0.0413
interaction_count/statuses_count,.,0.0000
eigencentrality/followers_count,,
clustering/followers_count,,
final_term_score/followers_count,,
followers_count/interaction_count,,
clustering/eigencentrality,,
eigencentrality/final_term_score,,
eigencentrality/interaction_count,,
clustering/final_term_score,,
clustering/interaction_count,,
final_term_score/interaction_count,,
