matchup,ktau,spearman
indegree/klout_score,0.6660,0.4862
indegree/kred_influence,0.6955,0.5132
authority/indegree,0.8042,0.6198
closnesscentrality/indegree,1.0000,0.9762
betweenesscentrality/indegree,0.6660,0.4862
indegree/statuses_count,0.6955,0.5132
followers_count/indegree,-0.6385,-0.4643
eigencentrality/indegree,-0.3530,-0.2414
clustering/indegree,-0.3613,-0.2466
final_term_score/indegree,-0.6385,-0.4643
indegree/interaction_count,0.8176,0.6518
klout_score/kred_influence,0.5675,0.4031
authority/klout_score,0.5961,0.4272
closnesscentrality/klout_score,0.8176,0.6518
betweenesscentrality/klout_score,-0.6174,-0.4731
klout_score/statuses_count,0.4842,0.3415
followers_count/klout_score,0.6508,0.4662
eigencentrality/klout_score,0.8638,0.6896
clustering/klout_score,0.4842,0.3415
final_term_score/klout_score,-0.3068,-0.2096
interaction_count/klout_score,0.4294,0.2983
authority/kred_influence,0.7449,0.5666
closnesscentrality/kred_influence,0.8222,0.6318
betweenesscentrality/kred_influence,0.8370,0.6447
kred_influence/statuses_count,0.7449,0.5666
followers_count/kred_influence,-0.4451,-0.3080
eigencentrality/kred_influence,0.6684,0.4915
clustering/kred_influence,0.6994,0.5120
final_term_score/kred_influence,0.9449,0.8022
interaction_count/kred_influence,0.6183,0.4422
authority/closnesscentrality,0.6374,0.4589
authority/betweenesscentrality,0.9449,0.8022
authority/statuses_count,-0.6906,-0.5229
authority/followers_count,0.7577,0.5897
authority/eigencentrality,0.4589,0.3245
authority/clustering,0.7036,0.5262
authority/final_term_score,-0.4053,-0.3282
authority/interaction_count,-0.4513,-0.3273
betweenesscentrality/closnesscentrality,-0.4583,-0.3310
closnesscentrality/statuses_count,-0.4053,-0.3282
closnesscentrality/followers_count,0.2197,0.1726
closnesscentrality/eigencentrality,-0.4724,-0.3823
closnesscentrality/clustering,-0.3338,-0.2303
closnesscentrality/final_term_score,-0.5216,-0.3939
closnesscentrality/interaction_count,-0.3444,-0.2786
betweenesscentrality/statuses_count,0.2825,0.1671
betweenesscentrality/followers_count,0.1018,0.0597
betweenesscentrality/eigencentrality,0.0431,0.0250
betweenesscentrality/clustering,0.2825,0.1671
betweenesscentrality/final_term_score,-0.2196,-0.1288
betweenesscentrality/interaction_count,0.2207,0.1305
followers_count/statuses_count,-0.0571,-0.0357
eigencentrality/statuses_count,0.0873,0.0515
clustering/statuses_count,0.2742,0.1623
final_term_score/statuses_count,-0.0269,-0.0154
interaction_count/statuses_count,0.7273,0.5310
eigencentrality/followers_count,0.6673,0.4886
clustering/followers_count,0.6874,0.5018
final_term_score/followers_count,0.7273,0.5310
followers_count/interaction_count,-0.3667,-0.2512
clustering/eigencentrality,0.6409,0.4618
eigencentrality/final_term_score,0.4687,0.3251
eigencentrality/interaction_count,0.5875,0.4173
clustering/final_term_score,0.6288,0.4471
clustering/interaction_count,-0.3747,-0.2760
final_term_score/interaction_count,0.2355,0.1387
