matchup,ktau,spearman
indegree/klout_score,0.6801,0.5012
indegree/kred_influence,0.6820,0.5027
authority/indegree,0.8138,0.6323
closnesscentrality/indegree,1.0000,0.9702
betweenesscentrality/indegree,0.6801,0.5012
indegree/statuses_count,0.6820,0.5027
followers_count/indegree,-0.6573,-0.4881
eigencentrality/indegree,-0.3652,-0.2510
clustering/indegree,-0.3364,-0.2295
final_term_score/indegree,-0.6573,-0.4881
indegree/interaction_count,0.8520,0.6825
klout_score/kred_influence,0.6139,0.4408
authority/klout_score,0.6216,0.4485
closnesscentrality/klout_score,0.8520,0.6825
betweenesscentrality/klout_score,-0.6032,-0.4646
klout_score/statuses_count,0.4952,0.3495
followers_count/klout_score,0.6599,0.4744
eigencentrality/klout_score,0.8684,0.6956
clustering/klout_score,0.4952,0.3495
final_term_score/klout_score,-0.2819,-0.1935
interaction_count/klout_score,0.4683,0.3291
authority/kred_influence,0.7281,0.5491
closnesscentrality/kred_influence,0.8127,0.6201
betweenesscentrality/kred_influence,0.8471,0.6589
kred_influence/statuses_count,0.7281,0.5491
followers_count/kred_influence,-0.4098,-0.2848
eigencentrality/kred_influence,0.6873,0.5086
clustering/kred_influence,0.7019,0.5136
final_term_score/kred_influence,0.9604,0.8280
interaction_count/kred_influence,0.6433,0.4673
authority/closnesscentrality,0.6299,0.4535
authority/betweenesscentrality,0.9604,0.8280
authority/statuses_count,-0.6866,-0.5221
authority/followers_count,0.8165,0.6374
authority/eigencentrality,0.4659,0.3253
authority/clustering,0.6912,0.5130
authority/final_term_score,-0.2509,-0.2166
authority/interaction_count,-0.3366,-0.2505
betweenesscentrality/closnesscentrality,-0.3735,-0.2806
closnesscentrality/statuses_count,-0.2509,-0.2166
closnesscentrality/followers_count,0.0963,0.0872
closnesscentrality/eigencentrality,-0.3563,-0.2983
closnesscentrality/clustering,-0.2795,-0.1996
closnesscentrality/final_term_score,-0.4103,-0.3210
closnesscentrality/interaction_count,-0.1828,-0.1604
betweenesscentrality/statuses_count,0.2821,0.1593
betweenesscentrality/followers_count,0.0882,0.0491
betweenesscentrality/eigencentrality,0.0351,0.0189
betweenesscentrality/clustering,0.2821,0.1593
betweenesscentrality/final_term_score,-0.3474,-0.1957
betweenesscentrality/interaction_count,0.2376,0.1333
followers_count/statuses_count,-0.0348,-0.0205
eigencentrality/statuses_count,0.0672,0.0375
clustering/statuses_count,0.3018,0.1707
final_term_score/statuses_count,0.0689,0.0382
interaction_count/statuses_count,0.7410,0.5464
eigencentrality/followers_count,0.6808,0.4980
clustering/followers_count,0.6807,0.4966
final_term_score/followers_count,0.7410,0.5464
followers_count/interaction_count,-0.3937,-0.2708
clustering/eigencentrality,0.6897,0.4988
eigencentrality/final_term_score,0.4535,0.3152
eigencentrality/interaction_count,0.5947,0.4233
clustering/final_term_score,0.6709,0.4812
clustering/interaction_count,-0.3173,-0.2348
final_term_score/interaction_count,0.1754,0.0984
