matchup,ktau,spearman
indegree/klout_score,0.5479,0.2716
indegree/kred_influence,0.5300,0.2575
authority/indegree,0.8603,0.6733
closnesscentrality/indegree,1.0000,0.3652
betweenesscentrality/indegree,0.5479,0.2716
indegree/statuses_count,0.5300,0.2575
followers_count/indegree,-0.5728,-0.2332
eigencentrality/indegree,-0.4566,-0.2596
clustering/indegree,-0.4307,-0.2418
final_term_score/indegree,-0.5728,-0.2332
indegree/interaction_count,0.7315,0.1913
klout_score/kred_influence,0.4366,0.1594
authority/klout_score,0.3744,0.1358
closnesscentrality/klout_score,0.7315,0.1913
betweenesscentrality/klout_score,-0.4880,-0.1442
klout_score/statuses_count,0.4635,0.2239
followers_count/klout_score,0.7160,0.5333
eigencentrality/klout_score,0.8689,0.6949
clustering/klout_score,0.4635,0.2239
final_term_score/klout_score,-0.4247,-0.2420
interaction_count/klout_score,0.3201,0.1160
authority/kred_influence,0.5451,0.2734
closnesscentrality/kred_influence,0.8252,0.6500
betweenesscentrality/kred_influence,0.8622,0.6723
kred_influence/statuses_count,0.5451,0.2734
followers_count/kred_influence,-0.5310,-0.3043
eigencentrality/kred_influence,0.4461,0.1647
clustering/kred_influence,0.8188,0.6191
final_term_score/kred_influence,0.9987,0.3652
interaction_count/kred_influence,0.5446,0.2695
authority/closnesscentrality,0.5245,0.2540
authority/betweenesscentrality,0.9987,0.3652
authority/statuses_count,-0.5757,-0.2330
authority/followers_count,0.7325,0.1925
authority/eigencentrality,0.4579,0.2199
authority/clustering,0.5429,0.2720
authority/final_term_score,0.6084,0.1973
authority/interaction_count,0.4927,0.2271
betweenesscentrality/closnesscentrality,0.5035,0.2314
closnesscentrality/statuses_count,0.6084,0.1973
closnesscentrality/followers_count,-0.7628,-0.2967
closnesscentrality/eigencentrality,0.3967,0.0996
closnesscentrality/clustering,0.4808,0.2258
closnesscentrality/final_term_score,0.5487,0.2511
closnesscentrality/interaction_count,0.6087,0.1990
betweenesscentrality/statuses_count,-0.0465,-0.0035
betweenesscentrality/followers_count,0.0841,0.0088
betweenesscentrality/eigencentrality,0.0816,0.0085
betweenesscentrality/clustering,-0.0465,-0.0035
betweenesscentrality/final_term_score,0.0510,0.0044
betweenesscentrality/interaction_count,-0.0311,-0.0017
followers_count/statuses_count,0.0790,0.0083
eigencentrality/statuses_count,0.0944,0.0099
clustering/statuses_count,-0.0464,-0.0035
final_term_score/statuses_count,-0.0465,-0.0035
interaction_count/statuses_count,0.5721,0.2644
eigencentrality/followers_count,0.5547,0.3684
clustering/followers_count,0.6163,0.4068
final_term_score/followers_count,0.5721,0.2644
followers_count/interaction_count,-0.3993,-0.2079
clustering/eigencentrality,0.4175,0.1423
eigencentrality/final_term_score,0.4711,0.3001
eigencentrality/interaction_count,0.5380,0.3521
clustering/final_term_score,0.5632,0.2604
clustering/interaction_count,0.4486,0.1955
final_term_score/interaction_count,0.0610,0.0060
