id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
16426890,Serg_7,10,6563,316,883,4,83,49.8461843374,40-49,714,7,0,2,2,2,0,2,6,3.4285714286,0,0,0.5,1,42,425,4.766339181938244E-5,0,6.8570175E-6,197,7,0,201,0,0
16811279,NickLane,10,122,43,239,1,8,23.4480957598,20-29,409,3,3,2,5,5,3,2,7,3.3537291818,0,0.001090035,0.15,1,0,59,5.1431889271254124E-5,2.7099353E-5,2.742807E-5,25,4,0,133,0,0
18004988,Darkcreations,10,7105,319,499,10,4,41.0208098071,40-49,662,6,2,2,4,4,2,2,7,2.792903693,0,0.010412904,0.0833333333,1,0,59,6.138841666466816E-5,2.0324514E-5,2.0571053E-5,175,0,0,200,0,0
19801613,orangeclockwork,10,2127,101,91,5,5,32.395051775,30-39,527,5,1,3,4,4,1,3,7,3.2494569153,0,0.0012164499,0.25,1,0,59,5.071094919721041E-5,1.3549677E-5,1.3714035E-5,25,2,0,200,0,0
22331578,LabradorCrys,10,10,29,42,0,1,17.3287204491,10-19,49,1,0,2,2,2,0,2,7,3.3984799131,0,0,0.5,1,0,60,4.766339181938244E-5,0,6.8570175E-6,147,0,0,14,0,0
22770859,Remzer,10,171,41,113,0,2,18.1361093016,10-19,340,3,1,2,3,3,1,2,8,3.4138305576,0,3.8974814466018106E-4,0.1666666667,1,0,59,5.3007122895156477E-5,1.3549677E-5,1.3714035E-5,182,2,0,178,0,0
32521071,BrewsterHoops,10,9524,4723,1147,85,69,58.9504078054,50-59,778,8,2,2,4,4,2,2,1,1,0,1.6551228476954845E-4,0.0833333333,1,20,91,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,18,53,0,201,0,0
33082809,JoshLee_BAHoops,10,8830,771,1073,28,12,50.8955615577,50-59,740,7,2,2,4,4,2,2,1,1,0,1.6551228476954845E-4,0.0833333333,1,20,91,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,18,21,0,201,0,0
36877156,ChantalSchutz,10,304,153,332,1,4,32.6677872322,30-39,461,4,0,3,3,3,0,3,7,3.275063337,0,0,0.5,1,0,327,4.766339181938244E-5,0,6.8570175E-6,182,2,0,201,0,0
62707770,LanternBell,10,2008,27,81,2,1,22.2526561701,20-29,532,5,0,2,2,2,0,2,7,3.3937748824,0,0,0.5,1,0,295,4.766339181938244E-5,0,6.8570175E-6,25,0,0,200,0,0
80406408,kejohnson22,10,66,82,155,3,7,29.8087671526,20-29,368,3,2,2,4,4,2,2,8,4.6401446655,0,1.6551228476954845E-4,0.0833333333,1,0,657,1.8304710587575002E-4,2.0324514E-5,2.0571053E-5,278,3,0,68,0,0
82674850,MyTorontoHome,10,1616,389,306,10,27,41.18111474,40-49,606,5,1,2,3,3,1,2,7,3.3120926865,0,4.568820289893232E-4,0.1666666667,1,0,59,4.955208345819835E-5,1.3549677E-5,1.3714035E-5,25,2,0,200,0,0
83827013,Hitman82,10,6158,169,362,0,92,63.2176661888,60-69,597,6,0,2,2,2,0,2,6,3.4285714286,0,0,0.5,1,42,426,4.766339181938244E-5,0,6.8570175E-6,197,0,0,200,0,0
88799262,greentak,10,78557,2703,2913,132,5363,55.3462555951,50-59,838,9,1,2,3,3,1,2,7,3.2125271542,0,9.664037912845491E-4,0.1666666667,1,0,59,5.0898997129838516E-5,1.3549677E-5,1.3714035E-5,77,9,0,201,0,0
95720474,carlyoboth,10,1640,367,434,16,15,55.9030699286,50-59,631,6,2,2,4,4,2,2,8,4.6401446655,0,1.6551228476954845E-4,0.0833333333,1,0,657,1.8304710587575002E-4,2.0324514E-5,2.0571053E-5,278,8,0,200,0,0
