id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class
22331578,LabradorCrys,10.0,10.0,29.0,42.0,0.0,1.0,17.328720449060825,10-19,49.0,1.0,0,2,2,2.0,0.0,2.0,7.0,3.3984799131378938,0.0,0.0,0.5,1.0,0,60,4.766339181938244E-5,0.0,6.8570175E-6,147
492059038,Newbie50001,10.0,6.0,1.0,44.0,0.0,0.0,10.670858637579528,10-19,21.0,3.0,0,2,2,2.0,0.0,2.0,8.0,3.6015200868621062,0.0,0.0,0.0,0.0,0,61,4.766339181938244E-5,0.0,6.8570175E-6,182
127551326,packermanno,10.0,13.0,5.0,109.0,0.0,0.0,16.202198876735622,10-19,25.0,1.0,0,1,1,1.0,0.0,1.0,8.0,3.6178067318132463,0.0,0.0,0.0,0.0,0,62,4.766339181938244E-5,0.0,6.8570175E-6,182
59767832,kgallag1,10.0,7.0,6.0,48.0,0.0,1.0,16.526237832417294,10-19,15.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,63,4.766339181938244E-5,0.0,0.0,0
255817854,glamrgirll,10.0,150.0,33.0,258.0,0.0,3.0,13.412968390417667,10-19,256.0,4.0,0,3,3,3.0,0.0,3.0,7.0,3.6601520086862105,0.0,0.0,0.16666666666666666,0.16666667,0,64,4.766339181938244E-5,0.0,6.8570175E-6,175
1269887706,JorgeCanadiense,10.0,2.0,1.0,16.0,0.0,0.0,13.48965768791399,10-19,42.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,65,4.766339181938244E-5,0.0,0.0,1
362903520,bctweetster,10.0,28.0,9.0,145.0,0.0,1.0,21.774456126075535,20-29,317.0,3.0,1,23,24,24.0,1.0,23.0,7.0,2.7838522809558293,1.9140375180805564,6.286103338361156E-4,0.2463768115942029,0.3786232,0,59,4.95773834142679E-5,1.3549677E-5,1.3714035E-5,182
307963985,RayMartin2,10.0,1.0,4.0,0.0,0.0,0.0,,,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66,4.766339181938244E-5,0.0,0.0,2
937513957,adamdasilva3,10.0,4.0,0.0,2.0,0.0,0.0,10.0,10-19,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,67,4.766339181938244E-5,0.0,0.0,3
517159398,Crimethought,10.0,13.0,21.0,0.0,0.0,29.0,31.198422259339964,30-39,535.0,5.0,8,0,8,8.0,8.0,0.0,0.0,0.0,0.0,0.008717650427026663,0.17857142857142858,0.2857143,0,2,6.616197573966478E-5,6.0973543E-5,0.0,77
1268250757,JillianLCurtin,10.0,2.0,4.0,13.0,0.0,0.0,14.151882817248719,10-19,25.0,1.0,3,5,8,8.0,3.0,5.0,7.0,2.934829833454019,3164.694543826549,9.85628705219148E-4,0.08928571428571429,0.35,0,59,7.951779905851463E-5,2.7099353E-5,2.742807E-5,77
1200867362,RhinehartbslShe,10.0,19.0,3.0,89.0,0.0,0.0,,,7.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,68,4.766339181938244E-5,0.0,0.0,4
1267034376,antpao6312,10.0,2.0,4.0,41.0,0.0,1.0,15.439557687619086,10-19,116.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,69,4.766339181938244E-5,0.0,0.0,5
1274297383,smiling_2002,10.0,5.0,0.0,175.0,0.0,0.0,10.0,10-19,0.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,70,4.766339181938244E-5,0.0,0.0,6
1072032300,ikwew_III,10.0,18672.0,834.0,1267.0,9.0,12947.0,55.49126536214445,50-59,755.0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,71,4.766339181938244E-5,0.0,0.0,7
1204850634,FrantzztiDaphin,10.0,18.0,3.0,74.0,0.0,0.0,10.670858637579528,10-19,7.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,72,4.766339181938244E-5,0.0,0.0,8
30483902,loganclyburne,10.0,54.0,14.0,124.0,0.0,2.0,21.695676186414502,20-29,218.0,3.0,0,1,1,1.0,0.0,1.0,8.0,3.670647846543612,0.0,0.0,0.0,0.0,0,73,4.766339181938244E-5,0.0,6.8570175E-6,175
493595072,ChrisWilson630,10.0,4.0,53.0,14.0,1.0,0.0,34.13032059339325,30-39,371.0,1.0,7,13,20,20.0,7.0,13.0,7.0,3.0901520637219404,119.66186768474027,0.005296155011415505,0.1868421052631579,0.35833332,0,59,9.505218721750643E-5,5.4198706E-5,5.485614E-5,182
1242788588,gharold3,10.0,5.0,1.0,9.0,0.0,0.0,14.937085683541852,10-19,71.0,1.0,0,1,1,1.0,0.0,1.0,7.0,3.5946435034382915,0.0,0.0,0.0,0.0,0,74,4.766339181938244E-5,0.0,6.8570175E-6,175
274353837,Democracyeh101,10.0,1.0,288.0,904.0,98.0,0.0,31.207771465432884,30-39,327.0,3.0,11,42,53,53.0,11.0,42.0,6.0,2.431933381607531,312.17884166021753,0.029405874643530904,0.13316400580551524,0.32694542,0,59,1.1346266690960936E-4,8.129806E-5,8.228421E-5,77
29024261,andyingy,10.0,2697.0,302.0,949.0,2.0,1126.0,49.12701343800683,40-49,636.0,7.0,5,0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0033818366565720173,0.1,0.2,0,4,5.5869548929473745E-5,4.064903E-5,0.0,77
1263738432,Test4Echoes,10.0,1.0,0.0,31.0,0.0,0.0,11.063285783848436,10-19,2.0,2.0,1,38,39,39.0,1.0,38.0,7.0,2.612599565532223,7.79763608556629,8.954691059171172E-4,0.3333333333333333,0.47300944,0,59,5.0105976990949156E-5,1.3549677E-5,1.3714035E-5,25
140559917,Queendavidg,10.0,7037.0,73.0,79.0,2.0,12.0,22.55781409799704,20-29,580.0,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,75,4.766339181938244E-5,0.0,0.0,9
1069600106,mikehammer2013,10.0,751.0,12.0,0.0,0.0,0.0,35.04995531691064,30-39,615.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,76,4.766339181938244E-5,0.0,0.0,10
1268953286,barry8ronald,10.0,0.0,0.0,14.0,0.0,0.0,,,0.0,0.0,0,1,1,1.0,0.0,1.0,8.0,3.6178067318132463,0.0,0.0,0.0,0.0,0,77,4.766339181938244E-5,0.0,6.8570175E-6,182
608237534,corykanderson,10.0,295.0,88.0,169.0,3.0,2.0,36.87877445117651,30-39,484.0,4.0,5,8,13,13.0,5.0,8.0,7.0,2.8750905141202026,1529.5998829088785,0.006369706306246091,0.10256410256410256,0.375,0,59,9.713191175248207E-5,4.064903E-5,4.1142106E-5,175
993993534,RobertBaillieul,10.0,144.0,14.0,6.0,1.0,3.0,23.55168599937793,20-29,266.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,78,4.766339181938244E-5,0.0,0.0,11
273283728,djvanbc,10.0,12.0,79.0,678.0,0.0,3.0,29.72463509358552,20-29,462.0,5.0,3,0,3,3.0,3.0,0.0,0.0,0.0,0.0,0.007840417143095847,0.3333333333333333,0.6666667,0,3,5.976658347444207E-5,2.7099353E-5,0.0,182
593051958,CorentinDen,10.0,4369.0,217.0,167.0,0.0,286.0,41.62402790236403,40-49,694.0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,79,4.766339181938244E-5,0.0,0.0,12
1283039702,move_GTHA,10.0,39.0,9.0,121.0,0.0,0.0,28.532688056979012,20-29,154.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,80,4.766339181938244E-5,0.0,0.0,13
1298696424,3f127riejuzji91,10.0,0.0,0.0,0.0,0.0,2.0,10.0,10-19,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,81,4.766339181938244E-5,0.0,0.0,14
1298749087,oleg_dm_8857434,10.0,1.0,0.0,0.0,0.0,1.0,10.0,10-19,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,82,4.766339181938244E-5,0.0,0.0,15
1238329170,ScoMo68,10.0,82.0,5.0,43.0,0.0,0.0,34.55673039698824,30-39,483.0,4.0,0,1,1,1.0,0.0,1.0,7.0,3.7759681505609843,0.0,0.0,0.0,0.0,0,83,4.766339181938244E-5,0.0,6.8570175E-6,175
615325412,nb_jag,10.0,22.0,8.0,9.0,0.0,0.0,20.894812898411416,20-29,119.0,3.0,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.001635234924211186,0.0,0.0,0,1,5.1696329636813506E-5,1.3549677E-5,0.0,25
57057185,bigbodypresents,10.0,24765.0,505.0,730.0,12.0,1051.0,50.116867834421306,50-59,738.0,8.0,13,14,27,27.0,13.0,14.0,7.0,2.9612599565532225,152.7687886316231,0.012408512756063868,0.11965811965811966,0.3888889,0,59,1.1555994294930295E-4,9.484774E-5,9.599824E-5,147
1310794578,justwatchmeCA,10.0,1.0,0.0,14.0,0.0,0.0,10.0,10-19,0.0,0.0,0,5,5,5.0,0.0,5.0,7.0,3.2363373145132104,0.0,0.0,0.25,0.25,0,84,4.766339181938244E-5,0.0,6.8570175E-6,175
166402475,colewhogan,10.0,9384.0,1038.0,1961.0,32.0,22.0,48.657903368439804,40-49,720.0,7.0,111,240,351,351.0,111.0,240.0,6.0,2.173787110789283,18788.836547808747,0.16887011893211806,0.08862026862026862,0.20567887,0,59,6.29223042696463E-4,7.587819E-4,7.6798594E-4,175
24261516,SussanneS,10.0,2238.0,472.0,1083.0,18.0,29.0,45.76294870214581,40-49,611.0,6.0,73,120,193,193.0,73.0,120.0,6.0,2.3106444605358436,2536.5570654257526,0.09557039339384575,0.09321027633851468,0.34015152,0,59,3.192074059711126E-4,5.0133804E-4,5.074193E-4,182
842408154,NormaBlissett,10.0,262.0,102.0,92.0,7.0,3.0,39.57252421204733,30-39,444.0,4.0,31,13,44,44.0,31.0,13.0,7.0,2.8077480086893556,1193.7027995546975,0.024179823334523592,0.17389006342494714,0.42689076,0,59,1.4384270836633714E-4,2.1679483E-4,2.1942456E-4,182
219492211,Aclark_2,10.0,13411.0,701.0,511.0,0.0,25.0,43.43953628462043,40-49,762.0,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,85,4.766339181938244E-5,0.0,0.0,16
361195351,bsichel,10.0,1946.0,470.0,749.0,20.0,40.0,49.10054419300801,40-49,673.0,6.0,39,81,120,120.0,39.0,81.0,6.0,2.3501086169442433,5141.592834973555,0.05517775011682491,0.10693277310924369,0.2875383,0,59,2.601041560847611E-4,2.7099354E-4,2.6056665E-4,147
278940186,allforjury,10.0,26445.0,982.0,2001.0,13.0,79.0,39.72228429450835,30-39,769.0,8.0,1,6,7,7.0,1.0,6.0,7.0,2.988052136133237,0.2516116300271666,4.1089306688619137E-4,0.23809523809523808,0.53333336,0,59,5.016171577845109E-5,1.3549677E-5,1.3714035E-5,175
322089533,FAQMP,10.0,4775.0,1931.0,2006.0,41.0,2.0,52.736842891958915,50-59,732.0,7.0,270,255,525,525.0,270.0,255.0,6.0,2.0847212165097755,65843.19771340588,0.29488174574064524,0.020672482733551437,0.11532791,0,59,0.0010162443336573302,0.0018359812,0.0018582518,77
472286193,ChrisKirouac,10.0,52880.0,488.0,819.0,10.0,11425.0,56.91732032553143,50-59,748.0,9.0,60,81,141,141.0,60.0,81.0,6.0,2.4250543084721214,2101.560989148478,0.06210132343785016,0.08181357649442755,0.31111112,0,59,1.9553454996635731E-4,4.1326514E-4,4.1827807E-4,77
19103646,djclimenhaga,10.0,2596.0,2243.0,1529.0,71.0,2.0,54.88189671206989,50-59,755.0,6.0,170,116,286,286.0,170.0,116.0,6.0,2.2527154236060825,14414.483821549251,0.17200097828454522,0.0650104281683229,0.17089371,0,59,7.696350538091185E-4,0.0011584973,0.00117255,175
113953933,jordangrondin,10.0,422.0,123.0,761.0,0.0,8.0,40.707386705827496,40-49,558.0,5.0,11,67,78,78.0,11.0,67.0,7.0,2.3399710354815353,214.64740035777135,0.015207889185117549,0.17216117216117216,0.34056988,0,59,7.486086994520558E-5,8.129806E-5,8.228421E-5,175
