id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,Interaction count
10229,RobCottingham,10,19240,5760,3068,517,591,66.9563016247,60-69,770,7,77,89,166,166,77,89,6,2.377986966,3328.8654314775,0.1295020171,0.1035779482,0.2778079,0,59,5.300129712117752E-4,5.284374E-4,5.348474E-4,182,11
11600,markblevis,10,14208,3170,1595,228,141,65.2577057406,60-69,753,7,81,59,140,140,81,59,6,2.5445329471,8866.8789986339,0.1427217842,0.100668037,0.29220778,0,59,7.270279387056278E-4,5.555367E-4,5.622754E-4,175,38
415583,Axell,10,9205,2342,955,62,269,67.2913465189,60-69,686,5,2,2,4,4,2,2,6,3.1538461538,471.5,1.7990370091669125E-4,0.0833333333,0.16666667,42,307,0.0011967809,2.0324514E-5,2.0571053E-5,197,1
805084,JordonCooper,10,23807,2324,754,115,1655,55.9219115121,50-59,774,8,38,31,69,69,38,31,7,2.7121650978,750.9370129908,0.0465946716,0.1165814152,0.29374057,0,59,2.743269977467165E-4,2.642187E-4,2.674237E-4,25,78
1307791,kady,10,130375,27106,3129,1792,39,72.812631238,70-79,969,10,1103,179,1282,1282,1103,179,6,2.2480086894,122749.969560213,1,0.0331595465,0.057764646,0,59,0.0068085418,0.0074794213,0.0074878633,175,2529
1771481,mmeija,10,1937,123,316,8,1,28.6749076079,20-29,440,6,1,4,5,5,1,4,7,3.1097031137,7.4636253718,2.2887075842316563E-4,0.1,0.25,0,59,5.918003881060458E-5,1.3549677E-5,1.3714035E-5,147,0
2183601,dougsymington,10,22834,2234,1123,130,4282,52.7847785255,50-59,729,7,33,30,63,63,33,30,6,2.5673425054,2722.9689724317,0.0497629415,0.0742447517,0.3857143,0,59,2.3307310464338335E-4,2.303445E-4,2.3313859E-4,77,7
3567831,sleslie,10,26410,1837,436,226,1271,54.4065863925,50-59,769,8,8,5,13,13,8,5,7,3.301230992,53.5005135838,0.0023137794,0.0512820513,0.18055555,0,59,9.341181932559288E-5,6.0973543E-5,6.171316E-5,182,5
3847661,matttbastard,10,38769,4116,4528,364,148,52.5175702616,50-59,782,8,136,167,303,303,136,167,6,2.1929761043,17971.6760532487,0.2111049008,0.0704216117,0.208341,0,59,8.266381558803408E-4,9.281528E-4,9.394114E-4,77,8
5262391,ctoverdrive,10,22866,1815,1365,102,577,56.1155236418,50-59,755,8,15,19,34,34,15,19,7,2.9105720492,546.2104542822,0.0096244491,0.0704099822,0.2228261,0,59,1.3241229115772618E-4,1.0839741E-4,1.0971228E-4,175,12
5661632,Nelson_Camara,10,759,87,131,2,0,36.2204923273,30-39,497,5,1,1,2,2,1,1,0,0,0,8.095914281419891E-5,0,0,135,306,3.177448371356425E-4,1.3549677E-5,1.3714035E-5,130,9
5748362,Senturion,10,10214,631,775,31,197,54.0183461108,50-59,748,7,6,10,16,16,6,10,6,2.7443881245,67.3714127019,0.0027881275,0.1416666667,0.30128205,0,59,7.431542444204725E-5,4.742387E-5,4.799912E-5,175,12
6038862,draymaker,10,1895,523,875,9,20,42.170339424,40-49,662,5,35,53,88,88,35,53,7,2.6125995655,403.6710714742,0.0686496574,0.1199059561,0.32142857,0,59,4.548601442939678E-4,2.4389417E-4,2.4685264E-4,175,8
6167332,oliveridley,10,11885,939,837,54,46,59.6492763514,50-59,741,7,65,70,135,135,65,70,6,2.320782042,5748.1989596176,0.0998196368,0.080983969,0.23919372,0,59,3.599012693815314E-4,4.4713932E-4,4.5256317E-4,77,39
6237632,ink_slinger,10,26697,1589,186,124,45,44.5534897923,40-49,735,7,10,16,26,26,10,16,7,2.7994207096,207.169691933,0.0145324388,0.1723076923,0.35064936,0,59,1.516095790152298E-4,7.452322E-5,7.542719E-5,175,3
6424072,kerfluffer,10,12519,290,272,12,106,,,732,8,10,6,16,16,10,6,7,2.9015206372,6.1742559432,0.0272637332,0.2166666667,0.51282054,0,59,1.361803790180546E-4,7.452322E-5,7.542719E-5,175,3
6563122,BenWest,10,11536,3924,2420,198,134,68.6827304074,60-69,780,8,219,101,320,320,219,101,6,2.3349022448,24332.8430566408,0.2312470099,0.0663695141,0.14638622,0,59,0.001107124,0.0014904644,0.0014879728,182,179
6894272,thekyleguy,10,13757,1413,1275,72,1773,46.8805022448,40-49,730,7,42,62,104,104,42,62,6,2.3845039826,4208.793965184,0.0400354281,0.0783233757,0.24393584,0,59,2.1962326260083082E-4,2.9131805E-4,2.9485175E-4,25,37
7075582,trasie,10,11634,1139,675,72,129,50.0658787157,50-59,701,7,33,40,73,73,33,40,6,2.4996379435,1756.2355125087,0.056597018,0.1105403349,0.32202113,0,59,2.2135208117487654E-4,2.303445E-4,2.3313859E-4,175,6
7123892,Sask_NDP,10,2022,3436,1976,127,19,53.9337025529,50-59,741,5,267,164,431,431,267,164,6,2.2729905865,31110.087654915,0.3319950933,0.0720552528,0.18689078,0,59,0.0013219867,0.0018156567,0.0018171096,25,184
7417792,WernerPatels,10,26849,763,457,47,0,48.8561742337,40-49,740,8,38,36,74,74,38,36,7,2.7784214337,546.9673200781,0.0340194684,0.0973713439,0.18323638,0,59,2.5782452135023217E-4,2.642187E-4,2.674237E-4,175,8
7491592,NailaJ,10,129431,2753,1274,180,923,55.8302590213,50-59,844,10,15,16,31,31,15,16,6,2.8439536568,479.7945890848,0.0265541684,0.147311828,0.33666667,0,59,1.9572185188180218E-4,1.0839741E-4,1.0971228E-4,175,13
7727422,brashley46,10,8612,245,300,10,48,41.2374981314,40-49,608,7,15,30,45,45,15,30,6,2.528602462,92.262755185,0.0283763126,0.1868686869,0.51336896,0,59,1.060665384966802E-4,1.0839741E-4,1.0971228E-4,25,1
7950242,sergioragone,10,39732,3892,889,113,573,64.4612318331,60-69,787,8,10,3,13,13,10,3,4,2.2307692308,1054.6666666667,8.439797387354388E-4,0.0384615385,0.08181818,42,307,0.0036135496,7.452322E-5,4.1142106E-5,197,47
8329682,CapnAllegra,10,28212,979,602,41,75,54.149353949,50-59,781,8,3,3,6,6,3,3,8,3.6368573497,13.7547456354,0.0010006129,0,0,0,59,8.097554204140104E-5,2.7099353E-5,2.742807E-5,175,3
8384152,iMenna29,10,21120,1014,869,12,227,56.0484225312,50-59,754,8,0,0,0,0,0,0,0,0,0,0,0,0,73,167,4.766339181938244E-5,0,0,65,2
8642882,Sanlin,10,59434,1041,1666,49,447,41.8135364716,40-49,736,9,6,17,23,23,6,17,6,2.9087617668,466.921239542,0.0060112386,0.0652173913,0.10526316,0,59,9.492631919910852E-5,4.742387E-5,4.799912E-5,77,0
