id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,old_clustering,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score,cluster_diff
18815141,katherineruta,10,1503,237,459,8,14,41.018791357,40-49,597,5,2,2,4,4,2,2,8,4.0886524823,0,0.0032928748,0.0833333333,1,0,59,1.280002413737965E-4,8.1151265E-5,8.2756334E-5,155,0.22222222,8,0,200,0,0,0.77777778
974785080,VisionGRAMintl,10,1006,59,384,2,84,41.0434443063,40-49,521,6,2,2,4,4,2,2,9,4.7959274015,0,6.070422512955594E-4,0.0833333333,1,0,59,1.267930214080395E-4,8.1151265E-5,8.2756334E-5,66,0.25,33,0,202,0,0,0.75
428009580,apcharding,10,100,40,104,1,0,30.2446623998,30-39,281,2,0,2,2,2,0,2,10,5.6637128932,0,0,0.5,1,0,59,5.875131382127692E-5,0,2.7585445E-5,155,0.30357143,3,0,107,0,0,0.69642857
176306039,WOComoxValley,10,463,26,88,0,1,21.1081886256,20-29,457,4,2,0,2,2,2,0,0,0,0,0.0102986176,0.5,1,0,59,7.63898985784056E-5,8.1151265E-5,0,47,0.33333334,3,0,199,0,0,0.66666666
33929160,AMSUL,10,347,82,528,1,0,37.2484957963,30-39,504,4,2,2,4,4,2,2,9,4.7959274015,0,6.070422512955594E-4,0.0833333333,1,0,59,1.267930214080395E-4,8.1151265E-5,8.2756334E-5,66,0.33333334,18,0,200,0,0,0.66666666
68853920,Chase__B,10,1037,76,391,1,14,25.6549556953,20-29,427,5,1,2,3,3,1,2,8,3.8776595745,0,0.0075170236,0.1666666667,1,0,59,9.313758314142038E-5,5.4100845E-5,5.517089E-5,155,0.33333334,0,0,199,0,0,0.66666666
34784372,kitredmond,10,2216,357,187,12,19,55.9885950715,50-59,641,5,1,2,3,3,1,2,9,5.8931737589,0,3.4374195804074813E-4,0.1666666667,1,0,59,2.1567241650533638E-4,5.4100845E-5,5.517089E-5,212,0.33333334,12,0,200,0,0,0.66666666
82789713,SandiEllen,10,6623,87,82,3,0,31.6646614339,30-39,584,6,2,2,4,4,2,2,8,4.2291666667,0,0.0024675703,0.0833333333,1,0,59,1.2068466921118838E-4,8.1151265E-5,8.2756334E-5,446,0.33333334,0,0,200,0,0,0.66666666
398500382,TheKeniverse,10,6212,171,357,1,652,41.9690420523,40-49,602,6,0,2,2,2,0,2,8,4.4417368188,0,0,0.5,1,0,59,5.875131382127692E-5,0,2.7585445E-5,320,0.33333334,3,0,200,0,0,0.66666666
761873688,amazinmind,10,2073,177,517,6,83,28.026407005,20-29,506,5,1,2,3,3,1,2,7,3.9113475177,0,0.0022502597,0.1666666667,1,0,59,7.19865804105864E-5,5.4100845E-5,5.517089E-5,47,0.33333334,3,0,200,0,0,0.66666666
374735534,honkey_blueye,10,251,8,37,0,5,32.6099289204,30-39,474,4,1,2,3,3,1,2,8,3.8271276596,0,0.016561031,0.1666666667,1,0,59,6.871833861633483E-5,5.4100845E-5,5.517089E-5,66,0.34444445,16,7,200,7,0.035,0.65555555
370748126,RobinSanks,10,1053,192,282,2,0,33.3687953756,30-39,692,6,0,2,2,2,0,2,8,4.8910057599,0,0,0.5,1,0,570,5.875131382127692E-5,0,2.7585445E-5,320,0.35,0,0,200,0,0,0.65
168504027,RandySRoberts,10,2161,270,912,5,75,55.7214621808,50-59,649,6,1,3,4,4,1,3,8,4.037677305,0,0.0012549055,0.25,1,0,59,8.20150285723208E-5,5.4100845E-5,5.517089E-5,47,0.35454544,28,0,201,0,0,0.64545456
946356661,qctranslator,10,521,251,756,10,81,45.1241215137,40-49,563,5,0,2,2,2,0,2,8,3.9720868409,0,0,0.5,1,0,288,5.875131382127692E-5,0,2.7585445E-5,96,0.35454544,0,0,200,0,0,0.64545456
400961934,guillamelepetit,10,568,82,359,2,60,42.5469779123,40-49,500,5,2,1,3,3,2,1,9,4.6768617021,0,0.0048730237,0.1666666667,1,0,59,1.6191585061287606E-4,8.1151265E-5,8.2756334E-5,155,0.375,1,0,200,0,0,0.625
39103314,tarekyassine,10,9568,363,1204,7,3,56.8655421578,50-59,646,6,0,2,2,2,0,2,8,4.4417368188,0,0,0.5,1,0,59,5.875131382127692E-5,0,2.7585445E-5,320,0.3809524,0,0,199,0,0,0.6190476
555378872,ckprthunderbay,10,3506,182,94,5,2,40.9118612316,40-49,583,6,1,1,2,2,1,1,9,5.2695035461,0,6.399100921381515E-4,0.5,1,0,59,7.344098039732549E-5,5.4100845E-5,5.517089E-5,320,0.45,0,0,200,0,0,0.55
240679098,mclennonld,10,74,13,51,0,5,12.5541969358,10-19,123,2,1,3,4,4,1,3,8,4.3851950355,0,0.0025069648,0.25,1,0,59,8.475777212368091E-5,5.4100845E-5,5.517089E-5,250,0.46212122,1,1,77,1,0.012987013,0.53787878
427743419,jimmydawes107,10,124,2,58,0,2,13.4493879176,10-19,83,3,0,2,2,2,0,2,8,3.8896765618,0,0,0.5,1,0,185,5.875131382127692E-5,0,2.7585445E-5,155,0.47619048,0,0,157,0,0,0.52380952
87344994,stephanieerb,10,25,16,61,0,2,15.8399468089,10-19,146,2,1,3,4,4,1,3,7,3.7491134752,0,0.0040878434,0.25,1,0,59,6.65671452546642E-5,5.4100845E-5,5.517089E-5,320,0.47619048,1,0,30,0,0,0.52380952
450981938,mcmarteau,10,508,95,832,0,195,17.3261177536,10-19,378,4,0,2,2,2,0,2,8,4.7159946832,0,0,0.5,1,0,59,5.875131382127692E-5,0,2.7585445E-5,96,0.4852941,1,0,200,0,0,0.5147059
1232470694,Khalin_McGiffen,10,37,19,167,0,0,17.9551159137,10-19,88,2,2,2,4,4,2,2,7,3.9215425532,0,0.0042120504,0.0833333333,1,0,59,8.85498245699479E-5,8.1151265E-5,8.2756334E-5,212,0.4909091,0,0,48,0,0,0.5090909
324607535,johnnewton23,10,65,19,39,0,0,17.7349986435,10-19,229,2,2,1,3,3,2,1,9,5.0004432624,0,0.0028157718,0.1666666667,1,0,59,1.3747646812615016E-4,8.1151265E-5,8.2756334E-5,320,0.5,0,1,85,1,0.0117647059,0.5
