Id,Label,Statuses Count,Followers Count,Friends Count,Listed Count,Favourites Count,Klout Score,Klout Score Bucket,Kred Influence,Kred Outreach,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Clustering Coefficient,Component ID,Strongly-Connected ID,PageRank,Modularity Class,Authority,Hub,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,In-Degree,Out-Degree,Degree,Erdös Number
22331578,LabradorCrys,10.0,29.0,42.0,0.0,1.0,17.328720449060825,10-19,49.0,1.0,9.0,4.836508639787328,0.0,0.0,0.0,1.0,0,111,4.766339181938244E-5,288,0.0,2.7585445E-5,1.0,0.0,1.0,0,1,1,4
492059038,Newbie50001,6.0,1.0,44.0,0.0,0.0,10.670858637579528,10-19,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,112,4.766339181938244E-5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,8
127551326,packermanno,13.0,5.0,109.0,0.0,0.0,16.202198876735622,10-19,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,113,4.766339181938244E-5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,8
59767832,kgallag1,7.0,6.0,48.0,0.0,1.0,16.526237832417294,10-19,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,114,4.766339181938244E-5,2,0.0,0.0,0.0,0.0,0.0,0,0,0,8
255817854,glamrgirll,150.0,33.0,258.0,0.0,3.0,13.412968390417667,10-19,256.0,4.0,8.0,4.440850686752326,0.0,0.0,0.0,0.0,0,115,4.766339181938244E-5,29,0.0,2.7585445E-5,2.0,0.0,2.0,0,2,2,3
1269887706,JorgeCanadiense,2.0,1.0,16.0,0.0,0.0,13.48965768791399,10-19,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,116,4.766339181938244E-5,3,0.0,0.0,0.0,0.0,0.0,0,0,0,8
362903520,bctweetster,28.0,9.0,145.0,0.0,1.0,21.774456126075535,20-29,317.0,3.0,8.0,4.022606382978723,6.695390123396448,0.008517290435862928,0.05,0.1,0,110,4.95773834142679E-5,463,5.4100845E-5,5.517089E-5,5.0,1.0,4.0,1,4,5,4
307963985,RayMartin2,1.0,4.0,0.0,0.0,0.0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,117,4.766339181938244E-5,4,0.0,0.0,0.0,0.0,0.0,0,0,0,8
937513957,adamdasilva3,4.0,0.0,2.0,0.0,0.0,10.0,10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,118,4.766339181938244E-5,5,0.0,0.0,0.0,0.0,0.0,0,0,0,8
517159398,Crimethought,13.0,21.0,0.0,0.0,29.0,31.198422259339964,30-39,535.0,5.0,0.0,0.0,0.0,0.022821443041565845,0.0,0.0,0,6,6.616197573966478E-5,443,1.6230253E-4,0.0,5.0,5.0,0.0,5,0,5,4
1268250757,JillianLCurtin,2.0,4.0,13.0,0.0,0.0,14.151882817248719,10-19,25.0,1.0,7.0,3.8226950354609928,2476.349027465749,0.009185128172087602,0.06666666666666667,0.33333334,0,110,7.951779905851463E-5,443,1.0820169E-4,1.1034178E-4,6.0,3.0,3.0,3,3,6,4
