id,text,description,time_captured,lang,self-reported location
499819985,RT @jacklayton: Jack Layton's letter to Canadians:  http://t.co/qK3n6BH  #cdnpoli #ndp,,2013-03-14 23:52:46 UTC,en,Vancouver b.c.
1168689936,Como me encanta que andes de mamona jeje. #ndp.,"Vete a la chingada, pero regresas con cuidado por si te necesito.",2013-03-17 21:53:07 UTC,es,Monterrey.
140252240,"RT @pauldewar: Great interview with Joanne Lebert, an expert on conflict minerals, about #NDP bill on #JustMinerals http://t.co/tWdRcLGnlO","@BanffForum ED; Co-Founder @CdnLawyersAbrd. Teaching at @munkschool. Optimistic lawyer, realistic multilateralist, swimmer, juggling mom. Views own.  ",2013-03-27 14:26:36 UTC,en,""
12843532,"""ain't nothin sexier to me, than when a honey tells me she vote #NDP"" #TalkNerdyToMe #cdnpoli","life-long denizen of dystopian #HamOnt. author, #cdnpoli pundit, entrepreneur, journalism grad, paralegal candidate & nomadic process server roaming the #GTA. ",2013-03-27 14:35:59 UTC,en,"Hamilton, Ontario"
38360581,"RT @tylercameron: Stonehame Chalets closed, Pictou Lodge in receivership now Linacy Greens Golf Course closing #NDP Tourism plan failing ...","Confused + Happy x lots of laughter = Jenn. Sometimes followed by lot's of stupidly, but always fun. Also I want a penguin, he can sleep in my fridge. ",2013-03-15 19:22:34 UTC,en,Nova Scotia
436471536,http://t.co/I40rGuFV1l The plot thickens... #NDP #ANC #Cosatu,"Inqaba ka Sobhuza: 
A Beautiful Mind",2013-03-22 05:59:16 UTC,en,"Pretoria, South Africa"
119552413,RT @gabriellellis_: My final Irish week ever #ndp #seniordomination #first #seniors ☝ http://t.co/Xzz4uIfU4y,Gotta go fast,2013-03-16 01:17:00 UTC,en,""
18230352,RT @jinnysims: Congrats to #NDP MP Randall Garrison &amp; Trans Canadians for passage of #C-279. Vote 149-137.A victory for equality &am ...,"The BC Teachers' Federation is a union of professionals representing 41,000 public school teachers. Read our vision for #BCED at http://betterschoolsbc.ca/",2013-03-20 23:24:12 UTC,en,"Vancouver, BC"
630956515,si asi fueras siempre #ndp,"I tried to pay attention but attention pay me
",2013-03-20 04:34:40 UTC,en,""
28578004,RT @bethinhfx: @JustinTrudeau @ThomasMulcair @joycemurray    #NDP AND #LIBERALS have to cooperate to kick #HARPER out: LETS reclaim Canada!,,2013-03-24 00:10:52 UTC,en,""
220576066,"RT @SettlerColonial: Dear #CPC, #LPC, and #NDP. Can you all just get it over with and merge? Three pro-colonialism parties is two too ma ...",writer/baker/wanderer/whatever ...,2013-03-20 22:01:15 UTC,en,Vancouver
296939494,RT @cairowire: RT @MaraRevkin Lawsuit to bar ex-#NDP members from running in Egypt elections postponed until June 4 — http://t.co/DIxfE5 ...,Middle East news-junkie who left her heart behind in Egypt. As Pope Shenouda used to say: Egypt is not a country we live in but a country that lives within us.,2013-03-26 21:36:02 UTC,en,""
456984469,RT @NPDLO_NDPOL: Language of Work in Federally Regulated Private Businesses in #Quebec: #NDP Motion (original in Fr) http://t.co/jYUY67m ...,"L'Association des communautés francophones de l'Ontario à Toronto représente 110 000 membres, une Francophonie urbaine, diversifiée, en plein essor #OnFr #ToFr",2013-03-23 04:50:44 UTC,fr,Toronto
70377745,"RT @durhamndp: #NDP leader, @ThomasMulcair, presenting flowers to the men's figure skating medal winners at #FSWorlds13 in #LdnOnt. http ...","Husband and Daddy. MHA for St. John's North. Friend of Pippy Park. What I desire for my family, I wish for all.",2013-03-17 01:54:24 UTC,en,St. John's
30165556,"cool, one of my favourite MP just followed me #ndp #women #cdnpoli thanks @MeganLeslieMP",Creative personality. Photographer. Community volunteer. Political activist. Day job = night auditor. My current community project #makingtransitwork ,2013-03-23 19:55:43 UTC,en,"Fredericton, New Brunswick"
1096068614,Town Hall meeting with @ThomasMulcair @irenemathyssen #ndp great discussions,New Democrat.  On the journey for the London-West NDP MPP nomination,2013-03-16 18:40:39 UTC,en,"London, ON"
378826663,RT @nikiashton: Proud of our #ndp team voting for Trans Rights. #HumanRights #justice,"PhD Student. President, @gsacarleton. Tidal pool explorer.",2013-03-20 22:37:32 UTC,en,Algonquin Territory - Ottawa
19216420,Great to see so many smiling faces at the Atwater Market in support of @tbenskin and the #ndp in Jeanne-Le Ber! http://t.co/rJSDEhhr1W,,2013-03-17 04:51:58 UTC,en,Montreal
344802896,"@paciscor appunto, una questione di regole, tra #Confitarma e Paesi sulla questione #ndp antipirateria con i #Marò","Giornalista pubblicista dal 2001, scrivo dal '98, miravo al praticantato di 18 mesi e sono giá 15 anni di professionismo di fatto. Passione X Inchieste e Radio!",2013-03-27 15:05:04 UTC,it,""
589587227,"RT @kkirkup: #NDP aboriginal critic @JeanCrowder slams government's ""workfare"" program for First Nations, calls it ""insultingly paternal ...",,2013-03-22 18:29:56 UTC,en,""
269643383,"RT @globepolitics: Budgets promise innovation and, once again, don’t deliver http://t.co/6W1GklkSlG #cdnpoli #CPC #lpc #ndp","Tweets represent my views only, and even that's sort of iffy",2013-03-22 12:25:02 UTC,en,Toronto
247407928,RT @PrairieNDP: Great kick off by @noahevanchuk of #YQR meeting! Great place to have last meeting of the #NDP Prairie Initiative #cdnpol ...,Noah Evanchuk is a dad/husband/lawyer/rabble-rouser/former NDP candidate for Palliser.,2013-03-23 16:37:21 UTC,en,Regina
231736397,RT @FinDonnelly: Second hour of #sharkfindb8 just wrapped up in the House. Two days until Parliament votes to make Canada #finfree #ndp  ...,,2013-03-25 17:08:19 UTC,en,"New Westminster, Canada"
3847661,Ouch. RT @Global_Montreal: Less than half of federal Liberal supporters register to vote for #lpcldr http://t.co/6f00gfkrVG #cdnpoli #NDP,"Writer/editor/social democrat/nrrd. Culture Editor, @NotSingularity. Co-host #NRRDLUV on @CHRWRadio. #NDP. #fem2. #p2ca. #ldnont.",2013-03-22 12:34:25 UTC,en,Soviet Canuckistan
313332496,Should Penashue be charged by Elxns Cda? http://t.co/NVR8LVW2Uk. Call for change http://t.co/3foSSjDDt3 #ABpoli #CPC #NDP #LPC #GPC,"Since 1993, Canada's leading democratic reform, good government and corporate responsibility organization.",2013-03-18 15:20:14 UTC,en,"Ottawa, Canada"
375016355,RT @HarryBorlase: Be the change you want to see! Happy to announce that I'll be seeking #Labrador by-election #NDP nomination #ndpworksf ...,,2013-03-22 14:02:49 UTC,en,HVGB Labrador
481033058,Remember how the incredible Pierre Poillievre repeatedly said #Penashue ran a 'clean&amp;ethical' campaign? #cdnpoli #cpc #lpc #ndp #gpc,,2013-03-18 13:09:21 UTC,en,""
